"Title","Addr","Price","Description","services","Rank","href","pos"
"馨苑","西區民生北路106號,Taichung,403,臺北／臺中","250-500TWD•臺灣菜","膳馨旗下的品牌，提供份量小巧、減少油鹽的臺灣料理。熱門菜色包括以大甲芋頭與椰奶共同燉煮的芋奶鮮嫩雞骨球，以及適合配飯的菠蘿遇見櫻桃鴨。同時提供多款臺式小吃，如多汁可口、充滿鮮味的花枝槓上雞肉丸，適合搭配佐餐。餐廳著重品茶文化，建議點上一瓶冷泡茶，好好感受用餐環境的寧靜與悠閒。","Takeaway_X_Visa_接受信用卡_E_無煙餐廳","=_必比登推介：具品質且經濟實惠的美食_ò_頗舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/shin-yuan","[""24.148365"",""120.668302""]"
"游日本料理","西屯區精誠路50巷12號,Taichung,407,臺北／臺中","1,100-2,500TWD•日本菜","有別於日本餐廳常見的木材裝潢，此店採純白風格，配合大理石作板前設計，讓環境更加明亮精緻，適合朋友聚餐。料理長希望客人能以實惠的價格品嚐日式料理，故推出兩款入門套餐，但均以熟食為主。若老饕們想一飽口福，品嚐由日本進口的生魚片與壽司的話，不妨提出更高預算，讓店家進行搭配。","Takeaway_X_Visa_”_吧檯式_接受信用卡","‹_米其林餐盤：供應美味菜餚的餐廳_ò_頗舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/abura","[""24.157714"",""120.656392""]"
"陸園","西區民權路248號,Taichung,403,臺北／臺中","300-600TWD•江浙菜","這裡儘管沒有華麗裝飾，卻有美味菜餚和舒適的服務，營造家庭般的溫暖感覺。廚師團隊跟隨創辦人工作三十年餘，經驗豐富，擅於烹調傳統江浙菜色，火候掌握尤其恰到好處。特別推薦蔥燒鯽魚，其飽滿的魚卵，加上酥脆的魚骨，滋味鮮香。另外，寧式鱔糊、干貝絲瓜也是不錯的選擇。大型聚餐不妨考慮包廂座位。","Takeaway_X_Visa_接受信用卡_E_無煙餐廳","=_必比登推介：具品質且經濟實惠的美食_ò_頗舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/lu-yuan","[""24.145914"",""120.671146""]"
"富貴亭","中區三民路二段18巷31號,Taichung,400,臺北／臺中","60-200TWD•臺灣菜","開業逾半世紀的富貴亭，是許多居民的童年回憶，販售筒仔米糕和各種當歸湯品。其中，當歸鴨肉麵線味道濃郁，十分美味。但最受歡迎的，始終是當歸鵝肉麵線和燻鵝肉，前者把鵝湯、鴨湯一起加入當歸湯中，香味四溢，每天開賣半個小時左右便會售罄。小店座位有限，無法訂位，也可能需與人拼桌。","Takeaway_不設訂位_:_只接受現金_含服務費","=_必比登推介：具品質且經濟實惠的美食_2_小店","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/fu-kuei-ting","[""24.140151"",""120.678196""]"
"鮨鈴木幸介","西區華美街392號,Taichung,403,臺北／臺中","2,200-5,000TWD•壽司","日籍主廚具有多年經驗，而且說得一口流利國語，樂於介紹食材的來源和特色。壽司飯以長野及臺灣米製作，並混入米醋及熟成六年的紅醋，調校出獨特風味。海產由日本新鮮進口，生魚片切得厚大，口感豐滿。玉子燒可以選擇鹹味的大阪風或是帶甜的東京風，滿足不同喜好。主廚或於一月及四月休假，建議先作查詢。","Takeaway_X_Visa_”_吧檯式_接受信用卡","‹_米其林餐盤：供應美味菜餚的餐廳_ò_頗舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/sushi-suzuki-kosuke","[""24.1534"",""120.65909""]"
"名人坊","西屯區臺灣大道三段301號4樓(新光三越),Taichung,407,臺北／臺中","800-4,000TWD•粵菜","由香港名人坊主廚鄭錦富監督，這裡的粵菜展現出細膩的烹調技藝。菜單約八成與香港本店同步，另外供應一系列為臺灣設計的點心。廚師採用在地食材，包括新鮮海產和來自契作農場的有機蔬果。招牌菜為燕窩釀鳳翼和脆皮炸子雞，後者皮薄肉嫩，但限量供應，建議預訂。用餐環境低調奢華，適合聚餐宴客。","JCB_Takeaway_X_Visa_û_供應素食菜單","‹_米其林餐盤：供應美味菜餚的餐廳_ó_舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/celebrity-cuisine-1188526","[""24.165369"",""120.643705""]"
"富狀元豬腳","西區美村路一段203號,Taichung,403,臺北／臺中","180-250TWD•臺灣菜","這家知名豬腳餐廳的特色，是不添加中藥材滷包，而將白毛豬隻，搭配特調比例的紅蔥、辣椒、冰糖與醬油，把肉滷至呈琥珀色澤、晶瑩透亮。不論是富含彈性和膠質的豬腳，或半肥半瘦的腿扣，都多汁可口。爽口筍絲等小菜也滋味無窮，再加上一碗白飯加滷汁，風味十足，令人大快朵頤。","Takeaway_不設訂位_:_只接受現金_E_無煙餐廳","=_必比登推介：具品質且經濟實惠的美食_2_小店","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/fu-juang-yuan","[""24.149863"",""120.662012""]"
"俺達的肉屋","西區公益路192之1號,Taichung,403,臺北／臺中","2,500-3,500TWD•燒烤","餐廳名字解作「我們的肉屋」，是一家專賣和牛的燒肉店，提供飛驒牛、橄欖牛、神戶牛等品種。從日本進口原隻和牛之後，會由師傅手工分切，並採取濕式熟成冷藏。特別推薦盛合，即包含五種和牛部位的綜合拼盤，可以按人數調整至合適的份量。服務貼心，不僅有專人代烤，更可請店員介紹肉類特點和隱藏菜單。","JCB_Takeaway_X_Visa_中國銀聯","m_一星：優質烹調，不妨一試！_ò_頗舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/oretachi-no-nikuya","[""24.151023"",""120.656408""]"
"KR Prime Steak","西屯區市政北二路52號,Taichung,407,臺北／臺中","780-3,500TWD•牛排屋","坐落豪宅地段，樓高兩層，一樓為肉品專營店，二樓則為牛排館，主要提供美國濕式熟成牛排。用餐環境舒適，適合約會或包場舉辦小型聚會。建議點選美國CAB頂級安格斯上蓋老饕，味道可口且充滿肉汁。各款甜點均手工製作，值得一試。特別推薦手工風味奶酪，柔嫩質地搭配時令水果，十分清爽。","Takeaway_X_Visa_接受信用卡_E_無煙餐廳","‹_米其林餐盤：供應美味菜餚的餐廳_ó_舒適(上佳)","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/kr-prime-steak","[""24.160977"",""120.641962""]"
"富彩軒","西屯區市政北二路60號3樓,Taichung,407,臺北／臺中","1,000-1,800TWD•粵菜","由香港主廚帶領，善用在地新鮮食材，烹調出一系列傳統粵菜，點心、燒味、海鮮、小炒等一應俱全。煲仔菜種類豐富，部分更提供份量選擇，方便不同人數的客人。推薦使用臺灣溫體牛的柱侯牛腩筋煲、賣相精緻的招牌富彩蝦餃，以及需預訂、皮脆肉嫩的金牌吊燒脆皮雞。環境舒適，設有包廂和沙發座，隱密度高。","Takeaway_X_Visa_接受信用卡_E_無煙餐廳","‹_米其林餐盤：供應美味菜餚的餐廳_ó_舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/fuchai","[""24.161124"",""120.641618""]"
"響海鮮","西屯區市政北二路356號,Taichung,407,臺北／臺中","800-2,200TWD•臺灣菜","在入口擺放了幾個大型海鮮缸，存放各式各樣的新鮮漁獲，不少由日本或其他國家進口，亦有來自澎湖及宜蘭龜山島海域。客人可自行挑選食材及烹調方式。料理風格以臺菜為主，同時融合了日式技法，令口味更豐富，擺盤也甚為精緻。室內設計時尚，並設獨立包廂，適合宴客聚會，但需要提前預訂。","Takeaway_X_Visa_f_室外停車場_接受信用卡","‹_米其林餐盤：供應美味菜餚的餐廳_ó_舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/hibiki-seafood","[""24.1652034"",""120.6344988""]"
"頂園全鴨坊","西屯區市政北二路305號,Taichung,407,臺北／臺中","350-800TWD•京菜,江浙菜","氣氛輕鬆，適合各類社交聚餐。半透明廚房內掛滿三個月大的宜蘭櫻桃鴨，正於恆溫櫃風乾，等待進入果木烤爐。完成烤製後，再在鴨身淋上君度橙酒，營造火焰效果，鴨皮因此帶一層薄薄的糖份，味道可口，肉質軟嫩。配合厚薄適中的自製餅皮，口感一流。烤鴨必須預訂，鴨骨部分可選不同烹調方法，一鴨二食。","Takeaway_X_Visa_f_室外停車場_接受信用卡","‹_米其林餐盤：供應美味菜餚的餐廳_ò_頗舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/ting-yuan-roast-duck","[""24.16434"",""120.63544""]"
"膳馨","西區存中街21號,Taichung,403,臺北／臺中","300-600TWD•臺灣菜","標榜健康理念的創意臺菜餐廳，不僅減少油鹽烹調，更採用產銷履歷與可溯源的食材，如梨山高麗菜、臺南虱目魚肚等。提供多樣自創菜色，包括配刈包享用的花雕遇見櫻桃鴨。而阿嬤ㄟ芋糕是特定日子限定商品，長條狀芋糕搭配甜鹹醬汁，深受顧客喜愛。在雅致的環境中一邊享受美食，一邊觀賞庭園造景，實在是相得益彰。","JCB_Takeaway_X_Visa_f_室外停車場","‹_米其林餐盤：供應美味菜餚的餐廳_ó_舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/shan-shin","[""24.141082"",""120.6606506""]"
"淇里思 (西區)","西區存中街47號,Taichung,403,臺北／臺中","388-1,000TWD•印度菜","開業不過幾年，已經設有分店，證明這家餐廳的吸引力。提供南、北印度美食，由印度籍廚師團隊負責，講究選用當地香料，以確保原汁原味。菜單設計非常貼心，既可選擇辣度，也標明適合素食者和兒童食用的菜色。其中，香料塔都雞腿香味十足，鷹嘴豆咖哩也不容錯過。樓高兩層，二樓可包場舉辦聚會。","Takeaway_X_Visa_接受信用卡_E_無煙餐廳","=_必比登推介：具品質且經濟實惠的美食_ò_頗舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/chilliesine-west","[""24.14108"",""120.65941""]"
"Gubami","西區存中街46號,Taichung,403,臺北／臺中","450-1,580TWD•麵食","名字為臺語牛肉麵的諧音。老闆原為法餐主廚，採用西式烹調技巧與食材，呈現臺灣經典美食。牛肉麵分為清燉與紅燒，兩種湯頭均熬製十小時以上。前者以宮崎和牛搭配特製細麵，後者則選用加拿大帶骨牛小排與特製粗麵，另有黑松露辣醬，十分適合嗜辣者。鵝油燜節瓜、香辣雪耳牛肉等小菜也十分精緻，值得一試。","Takeaway_X_Visa_接受信用卡_E_無煙餐廳","=_必比登推介：具品質且經濟實惠的美食_ò_頗舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/gubami","[""24.141737"",""120.6584204""]"
"京華煙雲","西區五權七街57號,Taichung,403,臺北／臺中","380-1,000TWD•京菜","餐廳外觀恍如中國的深宅大院，室內採用雕花窗框與仿古家具，風格典雅。菜單豐富，由單人套餐以至十人宴席，選擇應有盡有。而且不添加味精，吃得健康。招牌菜香酥櫻桃鴨腿採花蓮櫻桃鴨烹製，是道經典的北方菜。東北酸白鍋湯頭鮮甜，相當暖胃。最後來一客甜點驢打滾與養生芝麻糕，為美饌畫上完美句點。","JCB_Takeaway_X_Visa_f_室外停車場","=_必比登推介：具品質且經濟實惠的美食_ó_舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/moment-in-beijing","[""24.135059"",""120.663236""]"
"東方龍","南屯區公益路二段271之1號,Taichung,408,臺北／臺中","300-800TWD•臺灣菜","餐廳裝潢充滿中式元素，採用紅色燈籠和桌椅，洋溢喜慶氛圍。餐具亦帶有巧思，荷葉邊狀的藍瓷器皿搭配每人一壺的功夫茶具組，令用餐經驗增添意境，適合婚宴或商務聚會。食物方面，以臺灣家常菜為主，佐以少許四川創新菜餚。推薦菜色包括三杯松阪豬、清蒸午仔魚，以及香氣誘人的櫻花蝦炒飯。","Takeaway_X_Visa_f_室外停車場_接受信用卡","=_必比登推介：具品質且經濟實惠的美食_ó_舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/orient-dragon","[""24.150829"",""120.6429518""]"
"新月梧桐","西區五權西三街123號,Taichung,403,臺北／臺中","500-800TWD•江浙菜","餐廳樓高四層，以上海風情為主題。室內的皮製沙發、古董杯櫃、懷舊吊燈，加上紅色窗簾，彷彿回到三十年代的老上海，充滿懷舊氣氛。週三和週六晚上更設有唱歌表演。食物同樣出色，提供鱔糊、獅子頭、醃篤鮮等傳統江浙菜色以及蘇杭涼菜。為了方便客人，部份菜色更可選擇半份或小份。","JCB_Takeaway_X_Visa_接受信用卡","=_必比登推介：具品質且經濟實惠的美食_ó_舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/1924-shanghai-restaurant","[""24.13355"",""120.66314""]"
"一流海鮮美食館 (惠中路)","南屯區惠中路三段30之6號,Taichung,408,臺北／臺中","600-1,200TWD•海鮮","於2012年開業，目前在臺中已經有三間店，而惠中路的這間是本店。儘管面積不大，但設有室內和戶外用餐區，是不少家庭用餐、朋友聚會或下班小酌的好地方。靠近廚房的海鮮冰櫃，供應一系列臺灣海產，可以請親切的店員推薦菜色和建議烹調方法。由於食材新鮮、現點現做，加上價格實惠，因此經常座無虛席。","Takeaway_:_只接受現金_含服務費_E_無煙餐廳","‹_米其林餐盤：供應美味菜餚的餐廳_2_小店","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/yi-liu-seafood-huizhong-road","[""24.14999"",""120.640459""]"
"滬舍餘味","南屯區公益路二段537號,Taichung,408,臺北／臺中","150-300TWD•點心","老闆來自上海，因為思鄉心切，經過三年的努力，終於研發出記憶中最地道口味的生煎包。此外，小店還提供小籠包、蒸餃和燒賣等上海點心。生煎包有鮮肉和翡翠兩種口味，前者選用肥瘦比例適中的豬絞肉，湯汁豐富；後者的餡料則以青江菜、豆乾和香菇為主，口感脆嫩，味道清新。","Takeaway_不設訂位_:_只接受現金_含服務費","=_必比登推介：具品質且經濟實惠的美食_2_小店","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/shanghai-food","[""24.151106"",""120.63581""]"
"麵廊","南屯區公益路二段612號,Taichung,408,臺北／臺中","300-1,000TWD•麵食","結合麵食與藝廊，用餐環境優雅，牆上掛滿中式收藏品，令吃麵成為藝術體驗。食品帶點四川風味，但降低了辣度並提供不辣款式。備有湯麵與乾麵兩種選擇，特別推薦湯汁鮮甜的雪藏牛肋麵，搭配店家特製的扁麵條，十分可口。加上東坡炆牛肉、夫妻肺片等小菜，以及黑糖鍋盔餅作為餐後甜點，額外滿足。","Takeaway_:_只接受現金_E_無煙餐廳_T_空調","‹_米其林餐盤：供應美味菜餚的餐廳_ò_頗舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/mee-lang","[""24.151425"",""120.6336329""]"
"三喜食堂","南屯區永春東路140號,Taichung,408,臺北／臺中","500-1,000TWD•臺灣菜","餐廳隱身於民宅，外觀雖然低調，卻得到街坊和老顧客支持。老闆每天挑選食材、用心烹調，並親自招待客人。不妨留意牆上貼著的當天推薦菜色，海鮮、肉類、各式鍋物、三杯料理等一應俱全。部分手工菜如蒜蒸野泥鰍供應有限，最好於訂位時查詢。用餐環境輕鬆，最適合親朋好友相聚共歡。","Takeaway_:_只接受現金_E_無煙餐廳_{_私人廂房","=_必比登推介：具品質且經濟實惠的美食_ò_頗舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/san-hsi-shih-tang","[""24.13518"",""120.65199""]"
"与玥樓","南屯區公益路二段783號,Taichung,408,臺北／臺中","500-2,000TWD•粵菜","餐室寬敞遼闊，裝潢以金色和黑色為主，氣派典雅。二樓設有包廂，同時用作大型宴會場地，適合商務宴客或親友聚餐。主廚來自香港，將傳統廣東料理以創新方式展現，午市亦供應多款粵式點心。招牌菜包括用龍眼木烤製的窯烤片皮鴨，建議預訂。此外可以嚐嚐來自澎湖的海鮮，如七星斑和野生七彩龍蝦。","JCB_Maestro_Takeaway_X_Visa","‹_米其林餐盤：供應美味菜餚的餐廳_ó_舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/yu-yue-lou","[""24.150939"",""120.629279""]"
"台客燒肉粥","南屯區五權西路二段722之1號,Taichung,408,臺北／臺中","200-500TWD•粥品","店長的爺爺於1971年創立忠孝路肉粥，其手藝也一直傳承至今，成為這家新店的重要支柱。如日式屋台的格局配合鏤空木門框、木桌椅，帶懷舊氣氛且風格獨特。採用每天熬煮的大骨、雞骨湯入饌，味道清香。招牌菜秘方燒肉用上逾十種醃料，現點現炸，香酥味美。最後當然要嚐嚐用料新鮮、款式多樣的砂鍋粥。","Takeaway_X_Visa_f_室外停車場_接受信用卡","=_必比登推介：具品質且經濟實惠的美食_ò_頗舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/tai-ke-meat-congee","[""24.142923"",""120.636813""]"
"湄南河","南屯區龍富十五路36號,Taichung,40880,臺北／臺中","500-800TWD•泰國菜","老闆來自清邁，店內從吊燈、飾品以至餐具都從家鄉運到，充滿泰國風情。他和主廚更會定期到訪清邁，增進料理技巧，加深對當地香料的了解。綠咖哩偏向泰北口味，較為清香，值得一試。另可搭配月亮蝦餅，還有以自製蝦醬烹調的炒菜。戶外用餐區點綴了色彩繽紛的燈籠，洋溢派對氣氛，適合朋友聚會。","JCB_Takeaway_X_Visa_f_室外停車場","‹_米其林餐盤：供應美味菜餚的餐廳_ó_舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/maenam","[""24.14298"",""120.63302""]"
"金悅軒","南屯區公益路二段213號,Taichung,408,臺北／臺中","600-1,600TWD•粵菜","位於歐陸風格的獨立建築之中，外觀甚有氣派。門口的大型魚缸滿載各式各樣海鮮：沙公、龍蝦、野生七星斑等應有盡有。廚房各料理區皆由香港人帶領，盡顯傳統粵菜風味。除了一系列港式點心，蜜汁叉燒和避風塘炒龍蝦也是熱門菜色，也可一嚐當季的時令菜，例如秋天的大閘蟹和冬天的羊腩煲。","JCB_Maestro_Takeaway_X_Visa","‹_米其林餐盤：供應美味菜餚的餐廳_ó_舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/jin-yue-xuan","[""24.132334"",""120.6441356""]"
"千味海鮮","南屯區文心南五路一段326之3號,Taichung,408,臺北／臺中","600-1,000TWD•臺灣菜","以臺菜為主的餐館，魚缸中不乏時令海鮮，可以配合多種煮法，不妨請店員一一介紹。推薦麻油煮沙母，以乾煸過的薑片和綜合菇菌烹調，味道鮮甜，充滿香氣。多人聚餐的話，點上一份陶板藥膳活鮮蝦與一鍋蒜苗白鯧米粉，一同分享。環境簡潔但服務殷勤，設多個包廂，適合家庭聚會及各類宴請。","Takeaway_X_Visa_接受信用卡_E_無煙餐廳","‹_米其林餐盤：供應美味菜餚的餐廳_ò_頗舒適","https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/chien-wei-seafood","[""24.132334"",""120.6441356""]"
