"name","description","href","star","lang"
"zhegexiaohuozi/SeimiCrawler","一个简单、敏捷、分布式的支持SpringBoot的Java爬虫框架;An agile, distributed crawler framework.","https://github.com/zhegexiaohuozi/SeimiCrawler","1.8k","Java"
"Ehco1996/Python-crawler","从头开始 系统化的 学习如何写Python爬虫。 Python版本 3.6","https://github.com/Ehco1996/Python-crawler","1.5k","HTML"
"chenjiandongx/magnet-dht","✌️ Python3 BitTorrent DHT crawler","https://github.com/chenjiandongx/magnet-dht","725","Python"
"yujiosaka/headless-chrome-crawler","Distributed crawler powered by Headless Chrome","https://github.com/yujiosaka/headless-chrome-crawler","5k","JavaScript"
"rugantio/fbcrawl","A Facebook crawler","https://github.com/rugantio/fbcrawl","567","Python"
"yaojialyu/crawler","a web crawler","https://github.com/yaojialyu/crawler","130","Python"
"dataabc/weibo-crawler","新浪微博爬虫，用python爬取新浪微博数据，并下载微博图片和微博视频","https://github.com/dataabc/weibo-crawler","1.3k","Python"
"54xingzhe/weixin_crawler","高效微信公众号历史文章和阅读数据爬虫powered by scrapy","https://github.com/54xingzhe/weixin_crawler","327","JavaScript"
"yhangf/PythonCrawler","💗用python编写的爬虫项目集合","https://github.com/yhangf/PythonCrawler","927","Python"
"seveniruby/AppCrawler","基于appium的app自动遍历工具","https://github.com/seveniruby/AppCrawler","970","Scala"
"dixudx/tumblr-crawler","Easily download all the photos/videos from tumblr blogs. 下载指定的 Tumblr 博客中的图片，视频","https://github.com/dixudx/tumblr-crawler","1.1k","Python"
"wycm/zhihu-crawler","zhihu-crawler是一个基于Java的高性能、支持免费http代理池、支持横向扩展、分布式爬虫项目","https://github.com/wycm/zhihu-crawler","900","Java"
"Qianlitp/crawlergo","A powerful browser crawler for web vulnerability scanners","https://github.com/Qianlitp/crawlergo","1.2k",""
"injetlee/Python","Python脚本。模拟登录知乎， 爬虫，操作excel，微信公众号，远程开机","https://github.com/injetlee/Python","7k","Python"
"simplecrawler/simplecrawler","Flexible event driven crawler for node.","https://github.com/simplecrawler/simplecrawler","2.1k","JavaScript"
"YoongiKim/AutoCrawler","Google, Naver multiprocess image web crawler (Selenium)","https://github.com/YoongiKim/AutoCrawler","1k","Python"
"BlankerL/DXY-COVID-19-Crawler","2019新型冠状病毒疫情实时爬虫及API | COVID-19/2019-nCoV Realtime Infection Crawler and API","https://github.com/BlankerL/DXY-COVID-19-Crawler","1.8k","Python"
"apache/nutch","Apache Nutch is an extensible and scalable web crawler","https://github.com/apache/nutch","2.2k","Java"
"kanasimi/work_crawler","Download comics novels 小说漫画下载工具 小説漫画のダウンローダ 小說漫畫下載:腾讯漫画 大角虫漫画 有妖气 知音漫客 咪咕 SF漫画 哦漫画 看漫画 漫画柜 汗汗酷漫 動漫伊甸園 快看漫画 微博动漫 733动漫…","https://github.com/kanasimi/work_crawler","1.4k","JavaScript"
"smuyyh/CrawlerForReader","Android 本地网络小说爬虫，基于jsoup及xpath","https://github.com/smuyyh/CrawlerForReader","316","Java"
"JayBizzle/Crawler-Detect","🕷 CrawlerDetect is a PHP class for detecting bots/crawlers/spiders via the user agent","https://github.com/JayBizzle/Crawler-Detect","1.5k","PHP"
"ferventdesert/Hawk","visualized crawler & ETL IDE written with C#/WPF","https://github.com/ferventdesert/Hawk","2.9k","C#"
"Kr1s77/Python-crawler-tutorial-starts-from-zero","python爬虫教程，带你从零到一，包含js逆向，selenium, tesseract OCR识别,mongodb的使用，以及scrapy框架","https://github.com/Kr1s77/Python-crawler-tutorial-starts-from-zero","3.6k","Python"
"zhupingqi/RuiJi.Net","crawler framework, distributed crawler extractor","https://github.com/zhupingqi/RuiJi.Net","224","C#"
"Beyyes/crawler","message for zhihu","https://github.com/Beyyes/crawler","102","Python"
"xuxueli/xxl-crawler","A distributed web crawler framework.（分布式爬虫框架XXL-CRAWLER）","https://github.com/xuxueli/xxl-crawler","573","Java"
"symfony/dom-crawler","The DomCrawler component eases DOM navigation for HTML and XML documents.","https://github.com/symfony/dom-crawler","3.4k","PHP"
"huaying/instagram-crawler","Get Instagram posts/profile/hashtag data without using Instagram API","https://github.com/huaying/instagram-crawler","731","Python"
"DigitalPebble/storm-crawler","A scalable, mature and versatile web crawler based on Apache Storm","https://github.com/DigitalPebble/storm-crawler","717","Java"
"leVirve/CrawlerTutorial","爬蟲極簡教學（fetch, parse, search, multiprocessing, API）- PTT 為例","https://github.com/leVirve/CrawlerTutorial","289","Python"
"SmileXie/zhihu_crawler","Crawler of zhihu.com","https://github.com/SmileXie/zhihu_crawler","273","Python"
"evilcos/crawlers","Some crawlers u know it:-)","https://github.com/evilcos/crawlers","333","Python"
"yyyy777/crawler","python爬虫练习","https://github.com/yyyy777/crawler","91","Python"
"Foair/course-crawler","🎓 中国大学MOOC、学堂在线、网易云课堂、好大学在线、爱课程 MOOC 课程下载。","https://github.com/Foair/course-crawler","617","Python"
