"name","description","href","star","lang"
"pengdonglin137/linux-4.9","Linux-4.9學習，tq2440_dt分支是移植到tq2440的記錄，採用了設備樹的方式。","https://github.com/pengdonglin137/linux-4.9","5","C"
"aaaddress1/Algorithm","一些演算法學習筆記","https://github.com/aaaddress1/Algorithm","5","C++"
"shouzo/Operating-System_pages","這是為了學習作業系統所創立的Repository","https://github.com/shouzo/Operating-System_pages","2","HTML"
"KID421/Unity_ML_Football","Unity 機器學習 足球","https://github.com/KID421/Unity_ML_Football","1","C#"
"DatouHsu/onlyRxSwift","RxSwift範例跟一些學習心得","https://github.com/DatouHsu/onlyRxSwift","23","Swift"
"hanna9221/Machine-Learning-Foundations-and-Techniques","機器學習基石和技法(林軒田)的學習筆記與作業","https://github.com/hanna9221/Machine-Learning-Foundations-and-Techniques","3","Python"
"kejyun/high-scaling-websites-structure-learning-notes","KeJyun 在大型網站架構的學習筆記","https://github.com/kejyun/high-scaling-websites-structure-learning-notes","12",""
"macdidi5/AndroidTutorial","你對「Tutorial」有什麼樣的感覺？每一種技術的Tutorial都告訴你這是學習的開始，不過最後好像都會變成折磨的開始。或許可以找出一種方式，讓Tutorial變成大家會很想要點它的超連結！","https://github.com/macdidi5/AndroidTutorial","184",""
"40123158/2017springcd","國立虎尾科技大學機械設計工程系 2017 Spring 協同產品設計實習課程","https://github.com/40123158/2017springcd","","HTML"
"nlhsueh/OOSE","用於 Java, Design Pattern 的教育學習專案，包含一些 demo code。","https://github.com/nlhsueh/OOSE","9","Java"
"slmt-tutorial-channel/c-sharp-solutions","C# 教學中的習題解答","https://github.com/slmt-tutorial-channel/c-sharp-solutions","3",""
"dj1020/dj1020.github.io","閃亮亮大師之路 - 學習心得分享","https://github.com/dj1020/dj1020.github.io","9","HTML"
"enter3017sky/mentor-program-2nd-blog","MTR02 學習紀錄","https://github.com/enter3017sky/mentor-program-2nd-blog","1","HTML"
