"name","description","href","star","lang"
"momentumx/KaraokeCDG","Make Your own CDG files by listening to the song and pressing spacebar for the words","https://github.com/momentumx/KaraokeCDG","4","HTML"
"alexa-labs/skill-sample-python-pager-karaoke","Sample multi-modal skill","https://github.com/alexa-labs/skill-sample-python-pager-karaoke","8","Python"
"AxelTerizaki/karaokebase","Karaoke Mugen's ASS database. This is a backup repo, main is here : https://lab.shelter.moe/karaokemugen/karaokebase","https://github.com/AxelTerizaki/karaokebase","8","JavaScript"
"hammerplay-studios/karaoke","Karaoke is a neat plugin to parse and display karaoke subtitle files such as SSA/ASS inside Unity","https://github.com/hammerplay-studios/karaoke","17","C#"
"SherRao/KaraokeBot","Our submission for HackTheNorth++","https://github.com/SherRao/KaraokeBot","6","JavaScript"
"Ruminoid/Trimmer","Karaoke subtitle editor.","https://github.com/Ruminoid/Trimmer","20","C#"
"gyunaev/karlyriceditor","lyrics editor and CD+G/video exporter for Karaoke","https://github.com/gyunaev/karlyriceditor","14","C++"
"majimenezp/KaraokeList2","App to index karaoke (cd+g) files, serach,enqueue in web and local, and play the queue for parties","https://github.com/majimenezp/KaraokeList2","6","C#"
"Lemonlemons/deep-karaoke","Machine Learning model for creating karaoke music (stripping out vocals)","https://github.com/Lemonlemons/deep-karaoke","15","Python"
"thequux/qaraoke","Networked karaoke player","https://github.com/thequux/qaraoke","4","Rust"
"starrydeveloper/karaokely","A demo android app for karaoke-like lyrics displaying","https://github.com/starrydeveloper/karaokely","9","Java"
"jaketlarson/karaoke-js","Karaoke JS script","https://github.com/jaketlarson/karaoke-js","7","Ruby"
"fcrespel/karaplan","Karaoke Planner web application with song search, ratings, comments, playlists and more","https://github.com/fcrespel/karaplan","2","Java"
"calaldees/KaraKara","Karaoke Event System - Attendees can view and queue tracks from their mobile phones","https://github.com/calaldees/KaraKara","24","Python"
"alexa-labs/skill-sample-java-pager-karaoke","Sample multi-modal skill","https://github.com/alexa-labs/skill-sample-java-pager-karaoke","13","Java"
"CodeupClassroom/hyperion-karaoke-java-practice","Practice for Java Fundamentals Assessment","https://github.com/CodeupClassroom/hyperion-karaoke-java-practice","","Java"
"MylesBorins/iOS-Karaoke-Example","Prototype for mvp to be devlivered in Music 256b","https://github.com/MylesBorins/iOS-Karaoke-Example","5","Objective-C"
"rcarmo/karaoke-pitches","Presentation Karaoke","https://github.com/rcarmo/karaoke-pitches","",""
"CoffeeStraw/PyonFX","An easy way to create KFX (Karaoke Effects) and complex typesetting using the ASS format (Advanced Substation Alpha).","https://github.com/CoffeeStraw/PyonFX","61","Python"
"sujinleeme/vocal-remover-app","🎤 Vocal Remover for Karaoke (on-going..)","https://github.com/sujinleeme/vocal-remover-app","14","JavaScript"
"sujinleeme/vocal-remover-app","🎤 Vocal Remover for Karaoke (on-going..)","https://github.com/sujinleeme/vocal-remover-app","14","JavaScript"
"minkaart/karaoke-database","php script to processes .csv files from karaoke database, outputs .csv and .json files. jQuery displays the json file…","https://github.com/minkaart/karaoke-database","2","PHP"
"karaokenite/karaokenite","Building the next hanging out experience. 🚀","https://github.com/karaokenite/karaokenite","15","HTML"
"alangolm/react-karaoke-challenge","","https://github.com/alangolm/react-karaoke-challenge","1","JavaScript"
"alphadose/Synchron","A karaoke app in virtual reality","https://github.com/alphadose/Synchron","12","JavaScript"
"UltraStar-Deluxe/UltraStar-Creator","UltraStar Creator","https://github.com/UltraStar-Deluxe/UltraStar-Creator","14","C++"
"dustatron/karaoke-team","A karaoke interface that allows users to collaborate in realtime on a karaoke party/playlist","https://github.com/dustatron/karaoke-team","4","JavaScript"
"fajarpnugroho/santan-kara","MVP karaoke android application with code name santan-kara. This application can record your karaoke video, sample so…","https://github.com/fajarpnugroho/santan-kara","8","Java"
"tachi-hi/euterpe","Real-time Audio-to-audio Karaoke Generation System for Monaural Music","https://github.com/tachi-hi/euterpe","19","C++"
"emahub/AUKaraoke","Audio Units Karaoke Plugin (pan remover & filter)","https://github.com/emahub/AUKaraoke","11","C++"
