"name","description","href","star","lang"
"automagica/automagica","AI-powered Smart Robotic Process Automation 🤖","https://github.com/automagica/automagica","2.6k","Python"
"blark/aiodnsbrute","Python 3.5+ DNS asynchronous brute force utility","https://github.com/blark/aiodnsbrute","392","Python"
"blark/aiodnsbrute","Python 3.5+ DNS asynchronous brute force utility","https://github.com/blark/aiodnsbrute","392","Python"
"omnilib/aiomultiprocess","Take a modern Python codebase to the next level of performance.","https://github.com/omnilib/aiomultiprocess","1.2k","Python"
"googleapis/python-aiplatform","A Python SDK for Vertex AI, a fully managed, end-to-end platform for data science and machine learning.","https://github.com/googleapis/python-aiplatform","103","Python"
"thomasahle/sunfish","Sunfish: a Python Chess Engine in 111 lines of code","https://github.com/thomasahle/sunfish","2.2k","Python"
"Cloud-CV/EvalAI","☁️ 🚀 📊 📈 Evaluating state of the art in AI","https://github.com/Cloud-CV/EvalAI","1.2k","Python"
"creatorrr/pyAIML","PyAIML -- The Python AIML Interpreter","https://github.com/creatorrr/pyAIML","159","Python"
"LearnedVector/A-Hackers-AI-Voice-Assistant","A hackers AI voice assistant, built using Python and PyTorch.","https://github.com/LearnedVector/A-Hackers-AI-Voice-Assistant","411","Python"
"microsoft/PythonProgrammingPuzzles","A Dataset of Python Challenges for AI Research","https://github.com/microsoft/PythonProgrammingPuzzles","276","Python"
"ishikota/PyPokerEngine","Poker engine for poker AI development in Python","https://github.com/ishikota/PyPokerEngine","403","Python"
"MrNothing/AI-Blocks","A powerful and intuitive WYSIWYG interface that allows anyone to create Machine Learning models!","https://github.com/MrNothing/AI-Blocks","1.8k","JavaScript"
"microsoft/PythonProgrammingPuzzles","A Dataset of Python Challenges for AI Research","https://github.com/microsoft/PythonProgrammingPuzzles","276","Python"
"aio-libs/aiodocker","Python Docker API client based on asyncio and aiohttp","https://github.com/aio-libs/aiodocker","312","Python"
"aws-samples/aws-serverless-airline-booking","Airline Booking is a sample web application that provides Flight Search, Flight Payment, Flight Booking and Loyalty p…","https://github.com/aws-samples/aws-serverless-airline-booking","1.4k","Vue"
"vladfi1/phillip","The SSBM ""Phillip"" AI.","https://github.com/vladfi1/phillip","511","Python"
"uber/fiber","Distributed Computing for AI Made Simple","https://github.com/uber/fiber","926","Python"
"james-gray/nagini","A Simple BattleSnake AI Written in Python","https://github.com/james-gray/nagini","","Python"
"Svalorzen/AI-Toolbox","A C++ framework for MDPs and POMDPs with Python bindings","https://github.com/Svalorzen/AI-Toolbox","513","C++"
"girls-in-ai/Girls-In-AI","免费学代码系列：小白python入门、数据分析data analyst、机器学习machine learning、深度学习deep learning、kaggle实战","https://github.com/girls-in-ai/Girls-In-AI","2.2k","Jupyter Notebook"
"szastupov/aiotg","Asynchronous Python library for building Telegram bots","https://github.com/szastupov/aiotg","380","Python"
"lyhue1991/PythonAiRoad","source code of some articles","https://github.com/lyhue1991/PythonAiRoad","76","Jupyter Notebook"
"ruromgar/python-ai-trading-system","Code for How To Create A Fully Automated AI Based Trading System With Python","https://github.com/ruromgar/python-ai-trading-system","141","Python"
"Apress/practical-python-ai-projects","Source code for 'Practical Python AI Projects' by Serge Kruk","https://github.com/Apress/practical-python-ai-projects","76","Python"
"aio-libs/aioredis-py","asyncio (PEP 3156) Redis support","https://github.com/aio-libs/aioredis-py","1.9k","Python"
"b2wdigital/aiologger","Asynchronous logging for python and asyncio","https://github.com/b2wdigital/aiologger","310","Python"
"udacity/AIPND-revision","Revision to the code and associated files for the AI Programming with Python Nanodegree Program","https://github.com/udacity/AIPND-revision","84","Python"
"BurnySc2/python-sc2","A StarCraft II bot api client library for Python 3","https://github.com/BurnySc2/python-sc2","169","Python"
"Leo-G/Data-Science-Wiki","A wiki of DataScience, Statistics, Maths, R,Python, AI, Machine Learning, Automation, Devops Tools, Bash, Linux Tutor…","https://github.com/Leo-G/Data-Science-Wiki","4.8k",""
"pdeitel/PythonDataScienceFullThrottle","Downloads for my Safari Online Learning live training course Python Data Science Full Throttle: Introductory Artifici…","https://github.com/pdeitel/PythonDataScienceFullThrottle","156","HTML"
"fedden/poker_ai","🤖 An Open Source Texas Hold'em AI","https://github.com/fedden/poker_ai","557","Python"
"explosion/spaCy","💫 Industrial-strength Natural Language Processing (NLP) in Python","https://github.com/explosion/spaCy","21.1k","Python"
