"Title","Type","Area","Source","PIC","Tel","href","Addr","Pos"
"中華聖潔會新埔教會","教會","台灣 - 新竹縣","財團法人基督教中華聖潔會","徐蘭勝 牧師","03-588-3196","https://church.oursweb.net/church.php?pkey=811470","305041新竹縣新埔鎮義民路一段20號","{""lat"":""24.8282030"",""lng"":""121.0695270""}"
"中華聖潔會鳳山村教會","教會","台灣 - 新竹縣","財團法人基督教中華聖潔會","蘇秀娟 教師","03-597-6906","https://church.oursweb.net/church.php?pkey=811472","303102新竹縣湖口鄉鳳山村勝利路二段219號","{""lat"":""24.8595020"",""lng"":""121.0212960""}"
"台灣基督長老教會五尖教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","明當．尤淦 牧師","03-594-0706","https://church.oursweb.net/church.php?pkey=811544","310012新竹縣竹東鎮東峰路137巷34弄6號","{""lat"":""24.7190560"",""lng"":""121.0977580""}"
"六家福音中心","教會","台灣 - 新竹縣","302053新竹縣竹北市隘口三街135號1樓","湯心如","03-591-6330, 0920-030972","https://church.oursweb.net/church.php?pkey=811590","302053新竹縣竹北市隘口三街135號1樓","{""lat"":""24.8173220"",""lng"":""121.0282400""}"
"台灣基督長老教會竹北教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","林坤麟 牧師","03-555-3706","https://church.oursweb.net/church.php?pkey=812136","302001新竹縣竹北市中正東路366號","{""lat"":""24.8364030"",""lng"":""121.0100190""}"
"竹東五福禮拜堂","教會","台灣 - 新竹縣","310006新竹縣竹東鎮大林路26巷4弄8號","賴傳榮","03-5940104","https://church.oursweb.net/church.php?pkey=812140","310006新竹縣竹東鎮大林路26巷4弄8號","{""lat"":""24.7315780"",""lng"":""121.0887280""}"
"改革宗長老會竹東教會","教會","台灣 - 新竹縣","基督教改革宗長老會","鄒仁裕","03-596-4821","https://church.oursweb.net/church.php?pkey=812200","310011新竹縣竹東鎮幸福路132號","{""lat"":""24.7231030"",""lng"":""121.0908120""}"
"中華拓荒團橫山社區福音中心","教會","台灣 - 新竹縣","j120565kimo@yahoo.com.tw","鍾聖一 傳道","03-593-1447","https://church.oursweb.net/church.php?pkey=812379","312002新竹縣橫山鄉大肚村永昌街154號","{""lat"":""24.7231020"",""lng"":""121.1331990""}"
"台灣基督長老教會石磊教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","羅路加","03-584-7003","https://church.oursweb.net/church.php?pkey=812466","313005新竹縣尖石鄉玉峰村10鄰石磊53號","{""lat"":""24.70577786650096"",""lng"":""121.202332808599""}"
"台灣基督長老教會湖口教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","彭榮光 牧師","03-599-2442","https://church.oursweb.net/church.php?pkey=812533","303032新竹縣湖口鄉民族街200號","{""lat"":""24.9050830"",""lng"":""121.0470140""}"
"新竹靈糧堂","教會","台灣 - 新竹縣","靈糧全球使徒性網絡","苗其傑 牧師","03-558-8577","https://church.oursweb.net/church.php?pkey=812644","302048新竹縣竹北市嘉勤南路86號","{""lat"":""24.8222"",""lng"":""121.0160""}"
"台灣基督長老教會新豐教會（竹中）","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","林立倫 牧師","03-557-9095","https://church.oursweb.net/church.php?pkey=812697","304034新竹縣新豐鄉福德街38號","{""lat"":""24.8723299"",""lng"":""120.9970160""}"
"台灣基督長老教會煤源教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","溫嬌玲 牧師","03-584-2423","https://church.oursweb.net/church.php?pkey=812720","313002新竹縣尖石鄉新樂村10鄰煤源113號","{""lat"":""24.713197549157"",""lng"":""121.26944980567""}"
"台灣基督長老教會那羅教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","邱榮忠 牧師","03-584-1034","https://church.oursweb.net/church.php?pkey=812807","313011新竹縣尖石鄉錦屏村那羅10鄰113號","{""lat"":""24.7360340"",""lng"":""121.2392290""}"
"台灣基督長老教會嘉樂教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","江瑞乾 牧師","0989-821863","https://church.oursweb.net/church.php?pkey=812935","313012新竹縣尖石鄉嘉樂村6鄰24號","{""lat"":""24.7360340"",""lng"":""121.2392290""}"
"台灣基督長老教會帛納外教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","羅慶部","03-391-2506","https://church.oursweb.net/church.php?pkey=813081","313005新竹縣尖石鄉玉峰村抬耀13鄰46-1號","{""lat"":""24.650167"",""lng"":""121.340325""}"
"台灣基督長老教會鎮西堡教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","諾瓦．歐洛 牧師","03-584-7713","https://church.oursweb.net/church.php?pkey=813283","313004新竹縣尖石鄉秀巒村9鄰14-3號","{""lat"":""24.641273623537"",""lng"":""121.276003383985""}"
"台灣基督長老教會山光教會（泰中）","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","賴安淋 牧師","03-597-1644","https://church.oursweb.net/church.php?pkey=812262","303102新竹縣湖口鄉鳳山村勝利路二段254號","{""lat"":""24.8586339"",""lng"":""121.0201040""}"
"台灣基督長老教會水田教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","黃志宏 牧師","03-584-1852","https://church.oursweb.net/church.php?pkey=812431","313002新竹縣尖石鄉新樂村7鄰193-1號","{""lat"":""24.7222548"",""lng"":""121.27408130000003""}"
"台灣基督長老教會司馬庫斯教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","亞拉.比呼 牧師","03-584-7622","https://church.oursweb.net/church.php?pkey=812514","313208新竹縣尖石鄉玉峰村14鄰1號","{""lat"":""24.579256292073374"",""lng"":""121.33326501321415""}"
"湖口浸信會","教會","台灣 - 新竹縣","中華基督教浸信會聯會","林東尼 牧師","03-599-0445","https://church.oursweb.net/church.php?pkey=812534","303031新竹縣湖口鄉民生街152號","{""lat"":""24.9038719"",""lng"":""121.048002""}"
"台灣基督長老教會新埔教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","呂哲毅 傳道師","03-588-2304","https://church.oursweb.net/church.php?pkey=812662","305045新竹縣新埔鎮和平街38號","{""lat"":""24.8382160"",""lng"":""121.0089820""}"
"新豐崇真堂","教會","台灣 - 新竹縣","304034新竹縣新豐鄉員山村精工路28號","孫世淦","03-559-7691","https://church.oursweb.net/church.php?pkey=812699","304034新竹縣新豐鄉員山村精工路28號","{""lat"":""24.8755850"",""lng"":""120.9990470""}"
"台灣基督長老教會義興教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","亞崴．尤命 傳道師","03-584-2082","https://church.oursweb.net/church.php?pkey=812754","313002新竹縣尖石鄉義興8鄰24-1號","{""lat"":""24.6861292"",""lng"":""121.1767658""}"
"台灣基督長老教會嵨瀨教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","烏杜夫．勒巴克 牧師","03-585-6234","https://church.oursweb.net/church.php?pkey=812914","311002新竹縣五峰鄉桃山村6鄰108號","{""lat"":""24.574153"",""lng"":""121.105385""}"
"台灣基督長老教會福堂教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","哈告．伍道 牧師","03-584-1724","https://church.oursweb.net/church.php?pkey=812986","313303新竹縣尖石鄉新樂村8鄰10號","{""lat"":""24.7360340"",""lng"":""121.2392290""}"
"台灣基督長老教會錦屏教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","林翠蓮 傳道師","03-584-2466","https://church.oursweb.net/church.php?pkey=813198","313001新竹縣尖石鄉錦屏村3鄰比麟6號","{""lat"":""24.7360340"",""lng"":""121.2392290""}"
"台灣基督長老教會望愛教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","蘇盡女 牧師","03-596-3614","https://church.oursweb.net/church.php?pkey=813452","310004新竹縣竹東鎮仁愛路238號","{""lat"":""24.7353480"",""lng"":""121.0908100""}"
"基督教峨眉教會","教會","台灣 - 新竹縣","315001新竹縣峨眉鄉峨眉街18號7樓","楊宗勇 牧師","03-580-0667","https://church.oursweb.net/church.php?pkey=813685","315001新竹縣峨眉鄉峨眉街18號7樓","{""lat"":""24.6886857"",""lng"":""121.0191535""}"
"台灣基督長老教會泰崗教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","張保羅 牧師","03-584-7304","https://church.oursweb.net/church.php?pkey=813745","313004新竹縣尖石鄉秀巒村泰崗7鄰40-1號","{""lat"":""24.641273623537"",""lng"":""121.276003383985""}"
"台灣基督長老教會馬里光教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","督魯安．慕妮 牧師","03-584-7286","https://church.oursweb.net/church.php?pkey=813911","313005新竹縣尖石鄉玉峰村6鄰41號","{""lat"":""24.653882"",""lng"":""121.315509""}"
"台灣基督長老教會勒俄腊教會","教會","台灣 - 新竹縣","","曾永健 牧師","03-585-1144","https://church.oursweb.net/church.php?pkey=813966","","{}"
"基督教主恩一心堂","教會","台灣 - 新竹縣","302008新竹縣竹北市三民路361巷2弄23號","陳更新","035-514834","https://church.oursweb.net/church.php?pkey=814043","302008新竹縣竹北市三民路361巷2弄23號","{""lat"":""24.8345690"",""lng"":""121.0183470""}"
"台灣基督長老教會梅花教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","莉慕苡．哈用 牧師","03-584-2351","https://church.oursweb.net/church.php?pkey=814249","313001新竹縣尖石鄉梅花村4鄰95-1號","{""lat"":""24.7055010271518"",""lng"":""121.202007405742""}"
"竹東小組教會","教會","台灣 - 新竹縣","310006新竹縣竹東鎮東寧路二段72號","吳秀君 牧師","03-595-2468","https://church.oursweb.net/church.php?pkey=815722","310006新竹縣竹東鎮東寧路二段72號","{""lat"":""24.7309568"",""lng"":""121.0904869""}"
"竹東鎮召會","教會","台灣 - 新竹縣","台灣眾召會臺北總執事室","","03-595-6126","https://church.oursweb.net/church.php?pkey=815820","310004新竹縣竹東鎮杞林路38號","{""lat"":""24.7351630"",""lng"":""121.0920200""}"
"寶山鄉召會","教會","台灣 - 新竹縣","台灣眾召會臺北總執事室","","03-520-0305","https://church.oursweb.net/church.php?pkey=815823","308001新竹縣寶山鄉雙園路二段246號","{""lat"":""24.7666704"",""lng"":""120.99266969999996""}"
"台灣基督長老教會關西教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","吳宜璋 傳道師","03-587-1478","https://church.oursweb.net/church.php?pkey=813310","306001新竹縣關西鎮老街26號","{""lat"":""24.7931360"",""lng"":""121.1749990""}"
"台灣基督長老教會茅圃教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","林韋恩牧師","03-585-1137","https://church.oursweb.net/church.php?pkey=813624","311001新竹縣五峰鄉大隘村21鄰411號","{""lat"":""24.622643162380"",""lng"":""121.091709774621""}"
"台灣基督長老教會桃山教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","巴燕.尤命 牧師","03-585-6625","https://church.oursweb.net/church.php?pkey=813728","311002新竹縣五峰鄉桃山村3鄰41號","{""lat"":""24.596217"",""lng"":""121.108781""}"
"財團法人基督教中華聖潔會","宗派中心","台灣 - 新竹縣","hwh007.tw@yahoo.com.tw","劉修泉 牧師","03-588-4947","https://church.oursweb.net/church.php?pkey=813893","305043新竹縣新埔鎮褒忠路87號","{""lat"":""24.8357973"",""lng"":""121.0361692""}"
"台灣基督長老教會馬武督教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","攸婭．弗奈依 傳道師","03-547-8778","https://church.oursweb.net/church.php?pkey=813913","306009新竹縣關西鎮錦山里10鄰113號","{""lat"":""24.7360340"",""lng"":""121.2392290""}"
"中華聖潔會竹東教會","教會","台灣 - 新竹縣","財團法人基督教中華聖潔會","林正雄 牧師","03-596-5582","https://church.oursweb.net/church.php?pkey=814035","310004新竹縣竹東鎮中山路31號","{""lat"":""24.7338790"",""lng"":""121.0917290""}"
"中華基督教信義會寶山勝利堂","教會","台灣 - 新竹縣","財團法人台灣省中華基督教信義會","黃文棋 傳道","03-520-9527","https://church.oursweb.net/church.php?pkey=814212","308001新竹縣寶山鄉雙溪村雙園路二段260巷1弄15號","{""lat"":""24.7664207"",""lng"":""120.99184930000001""}"
"新豐磐石浸信會","教會","台灣 - 新竹縣","中華基督教浸信會聯會","王獻堂","03-559-0005","https://church.oursweb.net/church.php?pkey=815657","304108新竹縣新豐鄉建興路二段710號","{""lat"":""24.898558"",""lng"":""120.9873285""}"
"竹北市召會","教會","台灣 - 新竹縣","台灣眾召會臺北總執事室","","03-550-3601","https://church.oursweb.net/church.php?pkey=815819","302052新竹縣竹北市嘉豐七街26號","{""lat"":""24.8126996"",""lng"":""121.03315880000002""}"
"湖口鄉召會","教會","台灣 - 新竹縣","台灣眾召會臺北總執事室","","03-590-1054","https://church.oursweb.net/church.php?pkey=815822","303125新竹縣湖口鄉信勢村信全街27巷21號","{""lat"":""24.899449355344967"",""lng"":""121.04125264596325""}"
"台灣基督長老教會六家教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","陳嘉靜 傳道師","03-550-6101","https://church.oursweb.net/church.php?pkey=819585","302054新竹縣竹北市六家五路一段189號","{""lat"":""24.8092341"",""lng"":""121.0258477""}"
"基督教新豐以馬內利福音中心","教會","台灣 - 新竹縣","304109新竹縣新豐鄉仁愛街64號","","03-559-9200","https://church.oursweb.net/church.php?pkey=819588","304109新竹縣新豐鄉仁愛街64號","{""lat"":""24.8375710"",""lng"":""121.0110810""}"
"竹東宣教祝福教會","教會","台灣 - 新竹縣","310001新竹縣竹東鎮榮樂街146號","郭榮德","03-594-5943","https://church.oursweb.net/church.php?pkey=819591","310001新竹縣竹東鎮榮樂街146號","{""lat"":""24.7409015"",""lng"":""121.0869365""}"
"台灣基督長老教會拿互依教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","黃世雄 牧師","03-584-2575","https://church.oursweb.net/church.php?pkey=819593","313012新竹縣尖石鄉嘉樂村3鄰155號","{""lat"":""24.7060127"",""lng"":""121.2031326""}"
"基督教客家福音協會","宣教福音","台灣 - 新竹縣","hakka.chea@yahoo.com.tw","白美月 牧師","03-594-5546","https://church.oursweb.net/church.php?pkey=820032","310015新竹縣竹東鎮自強路58號1樓","{""lat"":""24.7479748"",""lng"":""121.0813917""}"
"新竹純福音教會","教會","台灣 - 新竹縣","財團法人基督教純福音教會台灣總會","張漢業 牧師","03-657-6714","https://church.oursweb.net/church.php?pkey=821388","302044新竹縣竹北市自強南路8號3樓","{""lat"":""24.8194330"",""lng"":""121.0276820""}"
"關西鎮召會","教會","台灣 - 新竹縣","台灣眾召會臺北總執事室","","03-587-7977","https://church.oursweb.net/church.php?pkey=823096","306001新竹縣關西鎮正義路105-6號","{""lat"":""24.7943851028487"",""lng"":""121.1756219999653""}"
"台灣基督長老教會關東橋教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","陳建上 傳道師","03-582-2879","https://church.oursweb.net/church.php?pkey=823105","310019新竹縣竹東鎮中興路4段890號2F","{""lat"":""24.778556"",""lng"":""121.03118799999993""}"
"真耶穌教會關東橋教會","教會","台灣 - 新竹縣","財團法人真耶穌教會台灣總會","","03-582-6071","https://church.oursweb.net/church.php?pkey=823108","310019新竹縣竹東鎮中興路四段1042巷9號","{""lat"":""24.7809444"",""lng"":""121.0271153""}"
"台灣基督長老教會梅后蔓教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","何智暐 傳道師","03-585-1222","https://church.oursweb.net/church.php?pkey=823110","311001新竹縣五峰鄉花園村7鄰156號","{""lat"":""24.64706629199792"",""lng"":""121.15214684061431""}"
"內灣天人岩屋","其他","台灣 - 新竹縣","99bike@gmail.com","黃天人","03-593-6070","https://church.oursweb.net/church.php?pkey=817777","312002新竹縣橫山鄉豐田村2鄰油羅49號","{""lat"":""24.706545"",""lng"":""121.157806""}"
"新恩全人成長中心（佈道所）","教會","台灣 - 新竹縣","302004新竹縣竹北市新民街222巷7號","章文箴","03-555-9956","https://church.oursweb.net/church.php?pkey=819587","302004新竹縣竹北市新民街222巷7號","{""lat"":""24.8429727"",""lng"":""121.0004810""}"
"芎林福音中心","教會","台灣 - 新竹縣","307002新竹縣芎林鄉文衡路370號","曾盛泉","03-592-5828","https://church.oursweb.net/church.php?pkey=819590","307002新竹縣芎林鄉文衡路370號","{""lat"":""24.7714493"",""lng"":""121.08416699999998""}"
"基督教福音廣傳會","教會","台灣 - 新竹縣","hsiao.chang@msa.hinet.net","蕭春常","03-512-0952","https://church.oursweb.net/church.php?pkey=819592","307001新竹縣芎林鄉下山村5鄰下山91號3F-3","{""lat"":""24.800097"",""lng"":""121.06932600000005""}"
"台灣基督長老教會客家宣教中會","宗派中心","台灣 - 新竹縣","台灣基督長老教會總會事務所","","03-517-0655","https://church.oursweb.net/church.php?pkey=819829","306002新竹縣關西鎮中央街87號1樓","{""lat"":""24.7945693"",""lng"":""121.17326179999998""}"
"台灣基督長老教會山崎教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","凃淑容","03-557-5100","https://church.oursweb.net/church.php?pkey=821035","304033新竹縣新豐鄉康泰路40之5號","{""lat"":""24.870209707995787"",""lng"":""120.98907676903377""}"
"中華天國門徒訓練宣教會","教育訓練","台灣 - 新竹縣","renhailiu33@yahoo.com.tw","劉仁海","03-592-7295","https://church.oursweb.net/church.php?pkey=821532","307051新竹縣芎林鄉下山村1鄰10號","{""lat"":""24.7971969"",""lng"":""121.0625467""}"
"芎林鄉召會","教會","台灣 - 新竹縣","台灣眾召會臺北總執事室","","03-512-1757","https://church.oursweb.net/church.php?pkey=823101","307001新竹縣芎林鄉綠獅三街111號","{""lat"":""24.7827745"",""lng"":""121.0730436""}"
"竹東懷恩教會","教會","台灣 - 新竹縣","大溪懷恩教會","劉秀櫻 牧師","03-510-4215","https://church.oursweb.net/church.php?pkey=823107","310011新竹縣竹東鎮南寧路139號","{""lat"":""24.7441486"",""lng"":""121.08406250000007""}"
"真耶穌教會竹東教會","教會","台灣 - 新竹縣","財團法人真耶穌教會台灣總會","","03-595-5342","https://church.oursweb.net/church.php?pkey=823109","310002新竹縣竹東鎮大明路305號","{""lat"":""24.7333293"",""lng"":""121.09872330000007""}"
"台灣基督長老教會樂賀安教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","攸醬．給匠 傳道師","","https://church.oursweb.net/church.php?pkey=823112","311001新竹縣五峰鄉花園村2鄰45號","{""lat"":""24.6526957"",""lng"":""121.1597686""}"
"真耶穌教會五峰教會","教會","台灣 - 新竹縣","財團法人真耶穌教會台灣總會","","03-585-1161","https://church.oursweb.net/church.php?pkey=823115","311001新竹縣五峰鄉大隘村10鄰191號","{""lat"":""24.6288312"",""lng"":""121.11974018220899""}"
"真耶穌教會清泉教會","教會","台灣 - 新竹縣","財團法人真耶穌教會台灣總會","","03-585-6214","https://church.oursweb.net/church.php?pkey=823117","311002新竹縣五峰鄉桃山村清泉14鄰237號","{""lat"":""24.578772638254506"",""lng"":""121.10601779762267""}"
"真耶穌教會義興教會","教會","台灣 - 新竹縣","財團法人真耶穌教會台灣總會","","03-584-2082","https://church.oursweb.net/church.php?pkey=823126","313002新竹縣尖石鄉義興村9鄰馬胎68號","{""lat"":""24.68938"",""lng"":""121.178041""}"
"真耶穌教會錦屏教會","教會","台灣 - 新竹縣","財團法人真耶穌教會台灣總會","","03-584-2179","https://church.oursweb.net/church.php?pkey=823128","313001新竹縣尖石鄉錦屏村比麟45號","{""lat"":""24.695755563108175"",""lng"":""121.2277811588955""}"
"台灣世界展望會五尖中心","社會關懷","台灣 - 新竹縣","台灣世界展望會","","03-596-6684, 03-596-4452, 03-5953201","https://church.oursweb.net/church.php?pkey=825000","310006新竹縣竹東鎮大林路217號","{""lat"":""24.7279184"",""lng"":""121.0874607""}"
"二重靈糧堂","教會","台灣 - 新竹縣","靈糧全球使徒性網絡","蔡金龍 牧師","03-582-6151","https://church.oursweb.net/church.php?pkey=826246","310021新竹縣竹東鎮光明路95號","{""lat"":""24.7689483"",""lng"":""121.05709909999996""}"
"十興家庭教會","教會","台灣 - 新竹縣","http://101.haleluya.cc/web/455567/homechuch","程格非 姊妹","03-658-5165","https://church.oursweb.net/church.php?pkey=827149","302059新竹縣竹北市莊敬北路146號3樓","{""lat"":""24.8259825"",""lng"":""121.0248074""}"
"中華基督教信義會竹北勝利堂","教會","台灣 - 新竹縣","財團法人台灣省中華基督教信義會","李四海 牧師","03-658-5220","https://church.oursweb.net/church.php?pkey=827818","302052新竹縣竹北市復興二路193號4F","{""lat"":""24.8110055"",""lng"":""121.03530410000008""}"
"基層福音寶山福音中心","教會","台灣 - 新竹縣","台灣基層福音差傳會","","","https://church.oursweb.net/church.php?pkey=828059","308001新竹縣寶山鄉雙園路2段260巷1弄15號","{""lat"":""24.7664207"",""lng"":""120.99184930000001""}"
"台灣基督長老教會達谷婻教會","教會","台灣 - 新竹縣","台灣基督長老教會總會事務所","斐福宜．阿拜 牧師","035-852-033","https://church.oursweb.net/church.php?pkey=823111","311001新竹縣五峰鄉竹林村2鄰34號","{""lat"":""24.63082"",""lng"":""121.15322""}"
"真耶穌教會花園教會","教會","台灣 - 新竹縣","財團法人真耶穌教會台灣總會","","03-585-1485","https://church.oursweb.net/church.php?pkey=823114","311001新竹縣五峰鄉花園村6鄰126-1號","{""lat"":""24.6449931"",""lng"":""121.1517515""}"
"真耶穌教會桃山教會","教會","台灣 - 新竹縣","財團法人真耶穌教會台灣總會","","03-585-6355","https://church.oursweb.net/church.php?pkey=823116","311002新竹縣五峰鄉桃山村1鄰6號","{""lat"":""24.599119323699018"",""lng"":""121.10981600265501""}"
"改革宗長老教會新樂教會","教會","台灣 - 新竹縣","基督教改革宗長老會","雲瑞金","03-594-2065","https://church.oursweb.net/church.php?pkey=823125","313002新竹縣尖石鄉新樂村2鄰水田53-1號","{""lat"":""24.7431629"",""lng"":""121.26127309999993""}"
"真耶穌教會尖石教會","教會","台灣 - 新竹縣","財團法人真耶穌教會台灣總會","","03-584-1708","https://church.oursweb.net/church.php?pkey=823127","313001新竹縣尖石鄉嘉樂村5鄰麥樹仁27號","{""lat"":""24.7060127"",""lng"":""121.2031326""}"
"基督復臨安息日會義興教會","教會","台灣 - 新竹縣","基督復臨安息日會台灣區會","陳武義","035-841-389","https://church.oursweb.net/church.php?pkey=823129","313002新竹縣尖石鄉義興村1鄰10號","{""lat"":""24.689555"",""lng"":""121.177815""}"
"社團法人台灣推喇奴爸爸學校推動協會","社會關懷","台灣 - 新竹縣","http://www.fatherschool.org.tw/","黃贊彥","","https://church.oursweb.net/church.php?pkey=825654","302048新竹縣竹北市光明9路8之3號7樓","{""lat"":""24.8229617"",""lng"":""121.0140817""}"
"竹東靈糧堂","教會","台灣 - 新竹縣","靈糧全球使徒性網絡","馬永昌 牧師","03-595-5251","https://church.oursweb.net/church.php?pkey=826823","310007新竹縣竹東鎮東林路48號2樓","{""lat"":""24.736926"",""lng"":""121.089831""}"
"CAN基督國度事奉教會","教會","台灣 - 新竹縣","can_taiwan@yahoo.com.tw","郭華冠 牧師","03-558-7775","https://church.oursweb.net/church.php?pkey=827787","302048新竹縣竹北市光明九路139號3樓","{""lat"":""24.8256944"",""lng"":""121.00884210000004""}"
"頌揚基督宣道會竹北教會","教會","台灣 - 新竹縣","頌揚基督宣道會","","03-550-8754","https://church.oursweb.net/church.php?pkey=828058","302052新竹縣竹北市嘉豐南路一段5號","{""lat"":""24.8063708"",""lng"":""121.0314333""}"
"竹北台福基督教會","教會","台灣 - 新竹縣","台福基督教會總會台灣辦事處","張國強 牧師","03-668-5022","https://church.oursweb.net/church.php?pkey=828635","302053新竹縣竹北市六家五路二段128號1樓","{""lat"":""24.8028834"",""lng"":""121.036201""}"
"北埔鄉召會","教會","台灣 - 新竹縣","台灣眾召會臺北總執事室","","03-580-5755","https://church.oursweb.net/church.php?pkey=828667","314004新竹縣北埔鄉埔尾村埔心街93號","{""lat"":""24.7037883"",""lng"":""121.04988879999996""}"
"基督徒敬拜中心新竹分會","教會","台灣 - 新竹縣","基督徒敬拜中心","呂美惠","03-657-7981","https://church.oursweb.net/church.php?pkey=828936","302044新竹縣竹北市莊敬五街118號","{""lat"":""24.824318"",""lng"":""121.0273343""}"
"新竹錫安堂寶山分堂","教會","台灣 - 新竹縣","新竹錫安堂","林偉知 牧師","0930-027-072","https://church.oursweb.net/church.php?pkey=829387","308001新竹縣寶山鄉大雅二街32號","{""lat"":""24.7560103"",""lng"":""121.00722659999997""}"
