"Title","Type","Price","Area","Msg","Review","href","Enhance"
"獨立套房出租鄰敦化國中近捷運南京復興站","獨立套房   |  8坪   |  樓層：3/4","15,000 元/月","松山區-南京東路三段256巷","屋主王太太/12分鐘內更新/1條問答/137人瀏覽","137人","https://rent.591.com.tw/rent-detail-11190152.html","黄金曝光"
"忠孝新生站，仁愛路三段獨立套房出租","獨立套房   |  4坪   |  樓層：5/6","12,500 元/月","丁香園 大安區-仁愛路三段5巷","屋主柯先生/2小時內更新/91人瀏覽","91人","https://rent.591.com.tw/rent-detail-11226043.html","VIP"
"*全新*松山捷運線南京三民全新裝潢套房","獨立套房   |  7坪   |  樓層：6/6","11,000 元/月","松山區-南京東路五段389巷6弄13號","屋主陳小姐/2小時內更新/107人瀏覽","107人","https://rent.591.com.tw/rent-detail-11244804.html","VIP"
"溫馨優質套房","獨立套房   |  7.5坪   |  樓層：1/4","11,000 元/月","松山區-光復北路60巷3弄10號","屋主陳小姐/2小時內更新/118人瀏覽","118人","https://rent.591.com.tw/rent-detail-11274874.html","VIP"
"捷運南京三民站獨立套房(佳德鳳梨酥隔壁)","獨立套房   |  5坪   |  樓層：2/4","12,800 元/月","本房屋有禁菸請注意 松山區-南京東路五段66巷","屋主林先生/2小時內更新/104人瀏覽","104人","https://rent.591.com.tw/rent-detail-10099152.html","VIP"
"近復興sogo百貨","獨立套房   |  8坪   |  樓層：3/14","13,300 元/月","正義國宅 大安區-忠孝東路三段","屋主陳小姐/2小時內更新/58人瀏覽","58人","https://rent.591.com.tw/rent-detail-11201186.html","VIP"
"近忠孝新生及大安森林優質套房(限本國籍)","獨立套房   |  6坪   |  樓層：4/5","8,500 元/月","大安區-新生南路一段139巷","代理人羅先生/2小時內更新/476人瀏覽","476人","https://rent.591.com.tw/rent-detail-11278023.html","VIP"
"大安森林公園雙捷運旁3分鐘景觀套房","獨立套房   |  8坪   |  樓層：頂樓加蓋/6","12,000 元/月","大安區-建國南路二段","屋主林小姐/2小時內更新/145人瀏覽","145人","https://rent.591.com.tw/rent-detail-11282114.html","VIP"
"信義安和鄰近101通化夜市全新裝潢","獨立套房   |  5坪   |  樓層：3/4","13,800 元/月","大安區-光復南路692巷","屋主洪小姐/2小時內更新/218人瀏覽","218人","https://rent.591.com.tw/rent-detail-11167205.html","VIP"
"台北松山獨立套房出租，1萬3含網路等費用","獨立套房   |  6坪   |  樓層：2/4","13,000 元/月","松山區-八德路四段","屋主劉小姐/2小時內更新/1條問答/119人瀏覽","119人","https://rent.591.com.tw/rent-detail-11063710.html","VIP"
"通化街捷運套房","獨立套房   |  5.5坪   |  樓層：2/3","11,500 元/月","大安區-通化街101巷33弄13號","屋主李小姐/2小時內更新/1條問答/67人瀏覽","67人","https://rent.591.com.tw/rent-detail-9050077.html","VIP"
"捷運信義安和101通化街全新時尚套房","獨立套房   |  4.8坪   |  樓層：1/4","10,800 元/月","大安區-通化街98巷","屋主陳先生/2小時內更新/65人瀏覽","65人","https://rent.591.com.tw/rent-detail-11076369.html","VIP"
"全新獨立套房","獨立套房   |  8坪   |  樓層：1/1","9,000 元/月","大安區-和平東路三段632巷","屋主盧先生/2小時內更新/329人瀏覽","329人","https://rent.591.com.tw/rent-detail-3425468.html","VIP"
"通化街精緻套房","獨立套房   |  6坪   |  樓層：2/3","13,500 元/月","大安區-通化街183巷22弄1號","屋主簡小姐/2小時內更新/3條問答/48人瀏覽","48人","https://rent.591.com.tw/rent-detail-11190875.html","VIP"
"近六張犁捷運7分.正方型套房.獨立洗衣機","獨立套房   |  7.5坪   |  樓層：4/5","12,995 元/月","大安區-臥龍街188巷","屋主何小姐/2小時內更新/120人瀏覽","120人","https://rent.591.com.tw/rent-detail-11253552.html","VIP"
"台師大頂級套房，捷運3分鐘","獨立套房   |  9坪   |  樓層：5/6","12,000 元/月","溫州街社區 大安區-羅斯福路三段","屋主黃小姐/2小時內更新/255人瀏覽","255人","https://rent.591.com.tw/rent-detail-11228780.html","VIP"
"2樓套房明亮,近捷運交通便,乾淨安靜單純","獨立套房   |  5.6坪   |  樓層：2/4","10,900 元/月","大安區-復興南路二段128巷","仲介葉小姐/2小時內更新/143人瀏覽","143人","https://rent.591.com.tw/rent-detail-11201835.html","VIP"
"自租101世貿300m套房設全限女整排窗","獨立套房   |  6坪   |  樓層：5/7","9,200 元/月","大安區-光復南路560巷","屋主伍先生/2小時內更新/75人瀏覽","75人","https://rent.591.com.tw/rent-detail-11211602.html","VIP"
"師大新裝潢台電捷運大露台獨立套房","獨立套房   |  5坪   |  樓層：頂樓加蓋/4","13,000 元/月","泰順101 大安區-泰順街","屋主符小姐/2小時內更新/183人瀏覽","183人","https://rent.591.com.tw/rent-detail-11249904.html","VIP"
"鬧中取靜.近國父紀念館和捷運","獨立套房   |  5坪   |  樓層：4/4","9,000 元/月","松山區-光復南路57巷","屋主王先生/2小時內更新/246人瀏覽","246人","https://rent.591.com.tw/rent-detail-11272292.html","VIP"
"松山區優質小套房","獨立套房   |  5坪   |  樓層：2/5","10,000 元/月","松山區-八德路三段198號","代理人裴先生/2小時內更新/146人瀏覽","146人","https://rent.591.com.tw/rent-detail-11279837.html","VIP"
"一房一廳樂利路獨立套房(已出租）","獨立套房   |  7坪   |  樓層：4/4","14,000 元/月","大安區-樂利路60號","屋主林先生/2小時內更新/4條問答/39人瀏覽","39人","https://rent.591.com.tw/rent-detail-11145818.html","VIP"
"師大商圈美寓","獨立套房   |  8坪   |  樓層：5/5","13,000 元/月","大安區-浦城街6巷","屋主陳小姐/2小時內更新/94人瀏覽","94人","https://rent.591.com.tw/rent-detail-11193973.html","VIP"
"松山站1分鐘超值獨立窗大套房E","獨立套房   |  11坪   |  樓層：5/5","10,000 元/月","松山區-松河街","屋主ANDY先生/2小時內更新/201人瀏覽","201人","https://rent.591.com.tw/rent-detail-11268584.html","VIP"
"台北市東區獨立套房","獨立套房   |  8坪   |  樓層：1/4","12,000 元/月","松山區-撫遠街389巷","屋主洪小姐/2小時內更新/31人瀏覽","31人","https://rent.591.com.tw/rent-detail-11208892.html","VIP"
"東區微風美套房","獨立套房   |  7坪   |  樓層：頂樓加蓋/4","14,000 元/月","松山區-八德路二段410巷","屋主張先生/2小時內更新/136人瀏覽","136人","https://rent.591.com.tw/rent-detail-11204636.html","VIP"
"生活機能佳、優質美套房","獨立套房   |  8坪   |  樓層：1/4","15,000 元/月","松山區-民生東路五段69巷2弄42號","屋主林先生/2小時內更新/29人瀏覽","29人","https://rent.591.com.tw/rent-detail-11251362.html","VIP"
"茄子青旅短期捷運站步行3分鐘。近小巨蛋","獨立套房   |  3坪   |  樓層：2/4","15,000 元/月","近民生社區 松山區-南京東路五段123巷1號","屋主白先生/2小時內更新/77人瀏覽","77人","https://rent.591.com.tw/rent-detail-11265238.html","VIP"
"1樓獨立空間使用！可煮食！","獨立套房   |  10坪   |  樓層：1/5","13,000 元/月","大安區-雲和街75巷","代理人洪先生/2小時內更新/184人瀏覽","184人","https://rent.591.com.tw/rent-detail-11278546.html","VIP"
"近通化夜市/信義安和站,採光通風佳","獨立套房   |  8坪   |  樓層：2/3","13,500 元/月","大安區-通化街39巷","屋主呂小姐/2小時內更新/1條問答/233人瀏覽","233人","https://rent.591.com.tw/rent-detail-11278841.html","VIP"
"微風廣場旁便宜套房","獨立套房   |  7坪   |  樓層：5/5","10,000 元/月","大安區-復興南路一段","屋主曹小姐/2小時內更新/3條問答/121人瀏覽","121人","https://rent.591.com.tw/rent-detail-11151637.html","VIP"
"忠孝新生站，仁愛路三段獨立套房出租","獨立套房   |  4坪   |  樓層：5/6","12,500 元/月","丁香園 大安區-仁愛路三段5巷","屋主柯先生/2小時內更新/91人瀏覽","91人","https://rent.591.com.tw/rent-detail-11226043.html","VIP"
"*全新*松山捷運線南京三民全新裝潢套房","獨立套房   |  7坪   |  樓層：6/6","11,000 元/月","松山區-南京東路五段389巷6弄13號","屋主陳小姐/2小時內更新/107人瀏覽","107人","https://rent.591.com.tw/rent-detail-11244804.html","VIP"
"溫馨優質套房","獨立套房   |  7.5坪   |  樓層：1/4","11,000 元/月","松山區-光復北路60巷3弄10號","屋主陳小姐/2小時內更新/118人瀏覽","118人","https://rent.591.com.tw/rent-detail-11274874.html","VIP"
"捷運南京三民站獨立套房(佳德鳳梨酥隔壁)","獨立套房   |  5坪   |  樓層：2/4","12,800 元/月","本房屋有禁菸請注意 松山區-南京東路五段66巷","屋主林先生/2小時內更新/104人瀏覽","104人","https://rent.591.com.tw/rent-detail-10099152.html","VIP"
"近復興sogo百貨","獨立套房   |  8坪   |  樓層：3/14","13,300 元/月","正義國宅 大安區-忠孝東路三段","屋主陳小姐/2小時內更新/58人瀏覽","58人","https://rent.591.com.tw/rent-detail-11201186.html","VIP"
"近忠孝新生及大安森林優質套房(限本國籍)","獨立套房   |  6坪   |  樓層：4/5","8,500 元/月","大安區-新生南路一段139巷","代理人羅先生/2小時內更新/476人瀏覽","476人","https://rent.591.com.tw/rent-detail-11278023.html","VIP"
"大安森林公園雙捷運旁3分鐘景觀套房","獨立套房   |  8坪   |  樓層：頂樓加蓋/6","12,000 元/月","大安區-建國南路二段","屋主林小姐/2小時內更新/145人瀏覽","145人","https://rent.591.com.tw/rent-detail-11282114.html","VIP"
"信義安和鄰近101通化夜市全新裝潢","獨立套房   |  5坪   |  樓層：3/4","13,800 元/月","大安區-光復南路692巷","屋主洪小姐/2小時內更新/218人瀏覽","218人","https://rent.591.com.tw/rent-detail-11167205.html","VIP"
"台北松山獨立套房出租，1萬3含網路等費用","獨立套房   |  6坪   |  樓層：2/4","13,000 元/月","松山區-八德路四段","屋主劉小姐/2小時內更新/1條問答/119人瀏覽","119人","https://rent.591.com.tw/rent-detail-11063710.html","VIP"
"通化街捷運套房","獨立套房   |  5.5坪   |  樓層：2/3","11,500 元/月","大安區-通化街101巷33弄13號","屋主李小姐/2小時內更新/1條問答/67人瀏覽","67人","https://rent.591.com.tw/rent-detail-9050077.html","VIP"
"捷運信義安和101通化街全新時尚套房","獨立套房   |  4.8坪   |  樓層：1/4","10,800 元/月","大安區-通化街98巷","屋主陳先生/2小時內更新/65人瀏覽","65人","https://rent.591.com.tw/rent-detail-11076369.html","VIP"
"全新獨立套房","獨立套房   |  8坪   |  樓層：1/1","9,000 元/月","大安區-和平東路三段632巷","屋主盧先生/2小時內更新/329人瀏覽","329人","https://rent.591.com.tw/rent-detail-3425468.html","VIP"
"通化街精緻套房","獨立套房   |  6坪   |  樓層：2/3","13,500 元/月","大安區-通化街183巷22弄1號","屋主簡小姐/2小時內更新/3條問答/48人瀏覽","48人","https://rent.591.com.tw/rent-detail-11190875.html","VIP"
"近六張犁捷運7分.正方型套房.獨立洗衣機","獨立套房   |  7.5坪   |  樓層：4/5","12,995 元/月","大安區-臥龍街188巷","屋主何小姐/2小時內更新/120人瀏覽","120人","https://rent.591.com.tw/rent-detail-11253552.html","VIP"
"台師大頂級套房，捷運3分鐘","獨立套房   |  9坪   |  樓層：5/6","12,000 元/月","溫州街社區 大安區-羅斯福路三段","屋主黃小姐/2小時內更新/255人瀏覽","255人","https://rent.591.com.tw/rent-detail-11228780.html","VIP"
"2樓套房明亮,近捷運交通便,乾淨安靜單純","獨立套房   |  5.6坪   |  樓層：2/4","10,900 元/月","大安區-復興南路二段128巷","仲介葉小姐/2小時內更新/143人瀏覽","143人","https://rent.591.com.tw/rent-detail-11201835.html","VIP"
"自租101世貿300m套房設全限女整排窗","獨立套房   |  6坪   |  樓層：5/7","9,200 元/月","大安區-光復南路560巷","屋主伍先生/2小時內更新/75人瀏覽","75人","https://rent.591.com.tw/rent-detail-11211602.html","VIP"
"師大新裝潢台電捷運大露台獨立套房","獨立套房   |  5坪   |  樓層：頂樓加蓋/4","13,000 元/月","泰順101 大安區-泰順街","屋主符小姐/2小時內更新/183人瀏覽","183人","https://rent.591.com.tw/rent-detail-11249904.html","VIP"
"鬧中取靜.近國父紀念館和捷運","獨立套房   |  5坪   |  樓層：4/4","9,000 元/月","松山區-光復南路57巷","屋主王先生/2小時內更新/246人瀏覽","246人","https://rent.591.com.tw/rent-detail-11272292.html","VIP"
"松山區優質小套房","獨立套房   |  5坪   |  樓層：2/5","10,000 元/月","松山區-八德路三段198號","代理人裴先生/2小時內更新/146人瀏覽","146人","https://rent.591.com.tw/rent-detail-11279837.html","VIP"
"通化街捷運套房","獨立套房   |  5.5坪   |  樓層：2/3","11,500 元/月","大安區-通化街101巷33弄13號","屋主李小姐/2小時內更新/1條問答/67人瀏覽","67人","https://rent.591.com.tw/rent-detail-9050077.html","VIP"
"捷運南京三民站獨立套房(佳德鳳梨酥隔壁)","獨立套房   |  5坪   |  樓層：2/4","12,800 元/月","本房屋有禁菸請注意 松山區-南京東路五段66巷","屋主林先生/2小時內更新/104人瀏覽","104人","https://rent.591.com.tw/rent-detail-10099152.html","VIP"
"溫馨優質套房","獨立套房   |  7.5坪   |  樓層：1/4","11,000 元/月","松山區-光復北路60巷3弄10號","屋主陳小姐/2小時內更新/118人瀏覽","118人","https://rent.591.com.tw/rent-detail-11274874.html","VIP"
"捷運松山站1分鐘超值獨立窗大套房E","獨立套房   |  11坪   |  樓層：5/5","10,000 元/月","松山區-松河街","屋主ANDY先生/2小時內更新/139人瀏覽","139人","https://rent.591.com.tw/rent-detail-11189701.html","VIP"
"東區雙捷運溫馨居機能超棒錯過可惜限女生喔","獨立套房   |  7坪   |  樓層：5/5","13,000 元/月","大安區-大安路一段52巷","仲介阿KEN/2小時內更新/245人瀏覽","245人","https://rent.591.com.tw/rent-detail-11278221.html","VIP"
"(極新、交通便利)八德路南京東路優質套房","獨立套房   |  10坪   |  樓層：5/5","13,500 元/月","松山區-八德路三段","屋主陳太太/2小時內更新/76人瀏覽","76人","https://rent.591.com.tw/rent-detail-11055587.html","VIP"
"近復興sogo百貨","獨立套房   |  8坪   |  樓層：3/14","13,300 元/月","正義國宅 大安區-忠孝東路三段","屋主陳小姐/2小時內更新/58人瀏覽","58人","https://rent.591.com.tw/rent-detail-11201186.html","VIP"
"敦南靜宅近仁愛圓環","獨立套房   |  11.4坪   |  樓層：4/7","15,000 元/月","大安區-四維路","屋主周先生/2小時內更新/312人瀏覽","312人","https://rent.591.com.tw/rent-detail-11279660.html","VIP"
"鄰近信義安和站只要5分鐘溫馨美宅","獨立套房   |  8坪   |  樓層：3/3","13,500 元/月","大安區-通化街39巷","屋主劉先生/2小時內更新/27人瀏覽","27人","https://rent.591.com.tw/rent-detail-11253731.html","VIP"
"靠近小巨蛋,房東自租限女性","獨立套房   |  6坪   |  樓層：2/4","9,500 元/月","松山區-南京東路四段133巷","屋主袁小姐/2小時內更新/160人瀏覽","160人","https://rent.591.com.tw/rent-detail-11241874.html","VIP"
"距中山國中站500公尺一樓全新套房","獨立套房   |  5坪   |  樓層：1/4","11,000 元/月","松山區-五常街281巷","屋主劉先生/3小時內更新/309人瀏覽","309人","https://rent.591.com.tw/rent-detail-10867604.html","VIP"
"小巨蛋捷運站電梯1+1房","獨立套房   |  10坪   |  樓層：頂樓加蓋/7","15,000 元/月","電梯大樓 松山區-延吉街30巷","仲介賴先生/3小時內更新/122人瀏覽","122人","https://rent.591.com.tw/rent-detail-11162160.html","VIP"
"屋主自租*清幽挑高大套房~全新裝潢大空間","獨立套房   |  10坪   |  樓層：1/1","9,500 元/月","大安區-和平東路三段632巷","屋主李先生/3小時內更新/429人瀏覽","429人","https://rent.591.com.tw/rent-detail-11263941.html","VIP"
"家電,傢俱,齋全,一樓獨立門戸精裝小套房","獨立套房   |  4.7坪   |  樓層：1/5","11,000 元/月","松山區-八德路三段155巷","屋主蔡先生/3小時內更新/144人瀏覽","144人","https://rent.591.com.tw/rent-detail-11158413.html","VIP"
"東區生活圈交通便生活機能佳","獨立套房   |  8坪   |  樓層：7/8","12,500 元/月","大安區-市民大道四段211號","屋主游小姐/3小時內更新/2條問答/109人瀏覽","109人","https://rent.591.com.tw/rent-detail-11168599.html","VIP"
"套房出租近後山埤捷運(限女性)","獨立套房   |  6.5坪   |  樓層：2/4","9,000 元/月","松山區-忠孝東路五段790巷","屋主王小姐/7小時內更新/115人瀏覽","115人","https://rent.591.com.tw/rent-detail-11151972.html","VIP"
"忠孝敦化電梯超高CP值獨立套房","獨立套房   |  4.9坪   |  樓層：5/12","12,000 元/月","鳳凰大廈 大安區-敦化南路一段","仲介周先生/8小時內更新/87人瀏覽","87人","https://rent.591.com.tw/rent-detail-11192085.html","VIP"
"捷運六張犁♥採光佳機能好♥有浴缸♥低樓層","獨立套房   |  7坪   |  樓層：3/4","15,000 元/月","加賴有屋內影片 大安區-樂業街65巷","仲介劉先生/2小時內更新/35人瀏覽","35人","https://rent.591.com.tw/rent-detail-11238393.html","Normal"
"捷運南京三民♥獨立洗衣機♥可寵♥有影片♥","獨立套房   |  5.5坪   |  樓層：4/5","15,000 元/月","松山區-南京東路五段251巷","仲介梁先生/2小時內更新/25人瀏覽","25人","https://rent.591.com.tw/rent-detail-11238722.html","Normal"
"可寵♥捷運小巨蛋♥低樓層♥採光套房♥","獨立套房   |  5坪   |  樓層：1/4","11,000 元/月","加賴有屋內影片 松山區-八德路三段155巷","仲介劉先生/2小時內更新/53人瀏覽","53人","https://rent.591.com.tw/rent-detail-11232575.html","Normal"
"捷運忠孝敦化6分、仁愛圓環、電梯垃圾代收","獨立套房   |  6坪   |  樓層：6/7","12,500 元/月","大安區-仁愛路四段345巷","仲介劉先生/2小時內更新/18人瀏覽","18人","https://rent.591.com.tw/rent-detail-11244633.html","Normal"
"捷運台電大樓♥師大夜市♥機能好♥獨立陽台","獨立套房   |  5.5坪   |  樓層：頂樓加蓋/4","11,000 元/月","加賴有屋內影片 大安區-泰順街16巷","仲介劉先生/2小時內更新/24人瀏覽","24人","https://rent.591.com.tw/rent-detail-11238073.html","Normal"
"有影片♥六張犁♥陽台♥溫馨裝潢♥再慢就沒","獨立套房   |  5坪   |  樓層：3/4","11,988 元/月","大安區-樂業街65巷","仲介劉先生/2小時內更新/60人瀏覽","60人","https://rent.591.com.tw/rent-detail-11238279.html","Normal"
