"Title","href","Type","Area","Msg","Price"
"信義分租套房A(Hr21001E)","https://rent.591.com.tw/rent-detail-11245537.html","分租套房   |  5坪   |  樓層：5/5","大安區-信義路四段265巷","仲介吳小姐/3小時內更新/47人瀏覽","12,000 元/月"
"生活機能佳溫馨套房","https://rent.591.com.tw/rent-detail-11281150.html","分租套房   |  4.5坪   |  樓層：2/4","松山區-民權東路五段","屋主張小姐/21分鐘內更新/46人瀏覽","9,300 元/月"
"近通化街夜市六張犁捷運站套房出租","https://rent.591.com.tw/rent-detail-11207277.html","分租套房   |  12坪   |  樓層：3/4","大安區-基隆路二段","屋主陳小姐/26分鐘內更新/28人瀏覽","13,500 元/月"
"●近捷運站●簡約小套房●東區最低價●","https://rent.591.com.tw/rent-detail-11157385.html","分租套房   |  5坪   |  樓層：3/5","大安區-仁愛路四段18號","代理人蕭先生/26分鐘內更新/114人瀏覽","9,000 元/月"
"近捷運南京三民站/舒適小套房","https://rent.591.com.tw/rent-detail-11146616.html","分租套房   |  6坪   |  樓層：2/3","松山區-南京東路五段291巷","仲介林先生/2小時內更新/14人瀏覽","14,500 元/月"
"台北市杭州南路二段靜巷套房出租","https://rent.591.com.tw/rent-detail-11185891.html","分租套房   |  5坪   |  樓層：5/5","大安區-杭州南路二段65巷","屋主黄先生/2小時內更新/52人瀏覽","9,000 元/月"
"頂好商圈分租套房近SOGO微風","https://rent.591.com.tw/rent-detail-11235884.html","分租套房   |  8坪   |  樓層：4/4","大安區-敦化南路一段160巷","屋主鍾先生/3小時內更新/32人瀏覽","14,000 元/月"
"南京三民捷運站旁，一看就喜歡","https://rent.591.com.tw/rent-detail-11264436.html","分租套房   |  6坪   |  樓層：4/11","松山區-南京東路五段","屋主李小姐/3小時內更新/43人瀏覽","11,000 元/月"
"*光復北*小資族*溫馨電梯套房","https://rent.591.com.tw/rent-detail-11249365.html","分租套房   |  6坪   |  樓層：1/12","松山區-光復北路","仲介李小姐/3小時內更新/1條問答/33人瀏覽","10,000 元/月"
"近台視公司全新裝潢電梯華厦1萬1~2萬1","https://rent.591.com.tw/rent-detail-11218866.html","分租套房   |  4.5坪   |  樓層：7/7","松山區-八德路三段12巷","屋主呂先生/3小時內更新/42人瀏覽","15,000 元/月"
"國父紀念館全新裝潢乾濕分離、獨立陽台套房","https://rent.591.com.tw/rent-detail-9974176.html","分租套房   |  3.5坪   |  樓層：2/7","松山區-市民大道四段","屋主施先生/3小時內更新/1條問答/78人瀏覽","14,800 元/月"
"小巨蛋11樓套房","https://rent.591.com.tw/rent-detail-11199337.html","分租套房   |  9坪   |  樓層：11/12","松山區-南京東路四段103號","屋主張先生/3小時內更新/2條問答/60人瀏覽","15,000 元/月"
"捷運東門站中正紀念堂旁雅靜套房","https://rent.591.com.tw/rent-detail-11266888.html","分租套房   |  5.5坪   |  樓層：3/5","大安區-信義路二段10巷11弄5號","屋主周先生/3小時內更新/1條問答/30人瀏覽","13,000 元/月"
"可短租台北忠孝復興套房:近北科大.北商","https://rent.591.com.tw/rent-detail-11169716.html","分租套房   |  7坪   |  樓層：7/14","大安區-忠孝東路三段248巷","屋主周小姐/3小時內更新/1條問答/85人瀏覽","10,000 元/月"
"國北教科技大樓站優質套房","https://rent.591.com.tw/rent-detail-11146164.html","分租套房   |  6坪   |  樓層：3/4","大安區-和平東路二段","屋主陳先生/3小時內更新/1條問答/40人瀏覽","15,000 元/月"
"仁愛林蔭圓環電梯亮麗套房二戶","https://rent.591.com.tw/rent-detail-11160339.html","分租套房   |  6坪   |  樓層：6/7","大安區-仁愛路四段345巷","屋主王先生/3小時內更新/1條問答/38人瀏覽","13,500 元/月"
"新東公園商套房，不能養寵物","https://rent.591.com.tw/rent-detail-11247806.html","分租套房   |  8坪   |  樓層：3/4","松山區-新東街20巷","仲介詹小姐/3小時內更新/17人瀏覽","13,000 元/月"
"鄰近捷運/生活機能佳/鬧中取靜","https://rent.591.com.tw/rent-detail-11221204.html","分租套房   |  5坪   |  樓層：2/4","大安區-臥龍街195巷","屋主張小姐/3小時內更新/25人瀏覽","11,000 元/月"
"臨近敦南金融街小套房","https://rent.591.com.tw/rent-detail-11248120.html","分租套房   |  6坪   |  樓層：3/4","大安區-四維路157號","屋主林小姐/3小時內更新/1條問答/23人瀏覽","13,500 元/月"
"師大路精美小套房含衛浴(無炊)","https://rent.591.com.tw/rent-detail-11246902.html","分租套房   |  4坪   |  樓層：3/5","大安區-師大路117巷","屋主瞿小姐/3小時內更新/87人瀏覽","10,500 元/月"
"師大路分租套房","https://rent.591.com.tw/rent-detail-10382747.html","分租套房   |  8坪   |  樓層：3/5","大安區-雲和街72巷","屋主江先生/3小時內更新/4條問答/138人瀏覽","9,000 元/月"
"民生東+敦北商圈","https://rent.591.com.tw/rent-detail-11213542.html","分租套房   |  5坪   |  樓層：4/5","松山區-民生東路三段130巷","屋主張先生/3小時內更新/15人瀏覽","10,500 元/月"
"民生社區、共用廚房、洗衣，大空間，","https://rent.591.com.tw/rent-detail-11280043.html","分租套房   |  6坪   |  樓層：4/4","松山區-撫遠街261巷","仲介林先生/3小時內更新/74人瀏覽","11,500 元/月"
"減輕疫情負擔、首3個月/月租金8折","https://rent.591.com.tw/rent-detail-11270993.html","分租套房   |  7坪   |  樓層：4/4","松山區-撫遠街389巷","屋主潘先生/3小時內更新/57人瀏覽","11,000 元/月"
"全新裝潢、捷運大安站、靜巷、採光佳","https://rent.591.com.tw/rent-detail-11263201.html","分租套房   |  5.7坪   |  樓層：4/4","大安區-瑞安街120巷","屋主易先生/3小時內更新/46人瀏覽","11,500 元/月"
"兩分到公館站，平價寬敞，電梯大樓","https://rent.591.com.tw/rent-detail-11231469.html","分租套房   |  10坪   |  樓層：7/7","大安區-新生南路三段","代理人張先生/3小時內更新/3條問答/97人瀏覽","14,000 元/月"
"敦南遠企旁,四維路花園套房5號房","https://rent.591.com.tw/rent-detail-11282838.html","分租套房   |  5坪   |  樓層：2/4","大安區-四維路162巷4號","屋主莊太太/3小時內更新/52人瀏覽","10,000 元/月"
"南京復興捷運站小巨蛋敦化國中微風南京","https://rent.591.com.tw/rent-detail-11191447.html","分租套房   |  7.5坪   |  樓層：2/4","松山區-南京東路三段256巷","屋主曾小姐/3小時內更新/42人瀏覽","13,000 元/月"
"師大走路一分鐘,生活機能齊全又安靜","https://rent.591.com.tw/rent-detail-11275382.html","分租套房   |  6坪   |  樓層：5/5","大安區-泰順街2巷","屋主胡小姐/3小時內更新/186人瀏覽","8,800 元/月"
"中正紀念堂旁高CP套房，划算選擇不看可惜","https://rent.591.com.tw/rent-detail-11191808.html","分租套房   |  6坪   |  樓層：5/5","大安區-信義路二段44巷","屋主周先生/3小時內更新/111人瀏覽","8,500 元/月"
"裝潢風格時尚摩登,環境單純優雅","https://rent.591.com.tw/rent-detail-11222791.html","分租套房   |  8坪   |  樓層：4/4","松山區-撫遠街400巷","屋主林小姐/3小時內更新/32人瀏覽","13,000 元/月"
"遠企溫馨套房","https://rent.591.com.tw/rent-detail-11159859.html","分租套房   |  5坪   |  樓層：4/5","大安區-大安路二段141巷","屋主吳先生/3小時內更新/1條問答/62人瀏覽","8,500 元/月"
"想要找一個住的安心，睡得放心，的好家","https://rent.591.com.tw/rent-detail-11190763.html","分租套房   |  5坪   |  樓層：4/5","松山區-三民路110巷","屋主鄭先生/3小時內更新/33人瀏覽","12,800 元/月"
"溫馨捷運小套房，生活機能佳，近小巨蛋","https://rent.591.com.tw/rent-detail-11246731.html","分租套房   |  5.5坪   |  樓層：3/4","松山區-南京東路四段133巷","屋主張先生/3小時內更新/15人瀏覽","11,800 元/月"
"優美裝潢工作室","https://rent.591.com.tw/rent-detail-11246651.html","分租套房   |  8坪   |  樓層：2/5","大安區-仁愛路四段","屋主陳小姐/3小時內更新/16人瀏覽","15,000 元/月"
"大安區捷運站旁套雅房出租","https://rent.591.com.tw/rent-detail-11218238.html","分租套房   |  5坪   |  樓層：5/14","大安區-信義路四段263號","屋主沈先生/3小時內更新/34人瀏覽","12,000 元/月"
"近捷運.101安靜優值套房(新裝璜)","https://rent.591.com.tw/rent-detail-11206574.html","分租套房   |  8坪   |  樓層：1/4","大安區-通化街39巷","屋主簡小姐/3小時內更新/112人瀏覽","10,000 元/月"
"高CP陽台套房125雅房獨立衛浴115K","https://rent.591.com.tw/rent-detail-11233661.html","分租套房   |  6坪   |  樓層：4/5","大安區-忠孝東路四段216巷33弄18號","屋主鄭先生/3小時內更新/2條問答/28人瀏覽","12,500 元/月"
"東門捷運站、永康商圈_獨棟公寓套房出租","https://rent.591.com.tw/rent-detail-11141504.html","分租套房   |  6.5坪   |  樓層：頂樓加蓋/4","大安區-信義路二段198巷","屋主郭先生/3小時內更新/32人瀏覽","14,000 元/月"
"公館/台大/台科大旁,大坪數套房","https://rent.591.com.tw/rent-detail-11219127.html","分租套房   |  7坪   |  樓層：1/1","大安區-基隆路三段155巷","屋主王先生/3小時內更新/61人瀏覽","12,000 元/月"
"瑞安溫馨大套房","https://rent.591.com.tw/rent-detail-11233956.html","分租套房   |  6.7坪   |  樓層：5/5","大安區-瑞安街222巷","屋主吳小姐/3小時內更新/54人瀏覽","12,500 元/月"
"忠孝敦化捷運2分鐘獨立陽台洗衣機電梯套房","https://rent.591.com.tw/rent-detail-11183574.html","分租套房   |  7坪   |  樓層：4/7","大安區-忠孝東路四段223巷","屋主吳太太/3小時內更新/26人瀏覽","13,800 元/月"
"SOGO商圈/北科大/優質地段/視野明亮","https://rent.591.com.tw/rent-detail-11189926.html","分租套房   |  6坪   |  樓層：12/14","大安區-忠孝東路三段","屋主王小姐/3小時內更新/26人瀏覽","13,000 元/月"
"信義安和捷運站三分鐘.近世貿.全新套房","https://rent.591.com.tw/rent-detail-11209197.html","分租套房   |  7坪   |  樓層：4/4","大安區-文昌街","屋主劉太太/3小時內更新/1條問答/58人瀏覽","12,000 元/月"
"套房出租鄰近通化街夜市","https://rent.591.com.tw/rent-detail-7299394.html","分租套房   |  5坪   |  樓層：5/5","大安區-通化街101巷","代理人楊小姐/3小時內更新/27人瀏覽","9,600 元/月"
"遠企購物中心對面的優質套房","https://rent.591.com.tw/rent-detail-11260806.html","分租套房   |  5坪   |  樓層：2/7","大安區-四維路220號","屋主徐小姐/3小時內更新/78人瀏覽","8,800 元/月"
"捷運三民4號出口2分鐘","https://rent.591.com.tw/rent-detail-11262795.html","分租套房   |  15坪   |  樓層：5/5","松山區-南京東路五段251巷","屋主劉太太/4小時內更新/2條問答/75人瀏覽","10,000 元/月"
"小巨蛋捷運公寓二樓免爬高生活機能極佳","https://rent.591.com.tw/rent-detail-11275092.html","分租套房   |  7坪   |  樓層：2/4","松山區-八德路三段158巷14號","仲介李旻哲SHINE/5小時內更新/196人瀏覽","10,000 元/月"
"大安區套房.限女性.夫妻.含水電.對外窗","https://rent.591.com.tw/rent-detail-11190842.html","分租套房   |  10坪   |  樓層：1/5","大安區-瑞安街222巷","代理人張小姐/8小時內更新/18人瀏覽","13,500 元/月"
"簡約便利雅房","https://rent.591.com.tw/rent-detail-11194707.html","分租套房   |  5坪   |  樓層：4/4","大安區-泰順街54巷16號","代理人阿發/8小時內更新/70人瀏覽","10,000 元/月"
"全新家俱/民生社區/寧靜優雅小套房LY","https://rent.591.com.tw/rent-detail-11231276.html","分租套房   |  5坪   |  樓層：3/4","松山區-民生東路四段56巷","仲介蕭小姐/3分鐘內更新/29人瀏覽","12,498 元/月"
"國父紀念館站~超新裝潢套房新增有陽台戶","https://rent.591.com.tw/rent-detail-11218945.html","分租套房   |  7坪   |  樓層：3/5","松山區-光復南路57巷","仲介張先生/33分鐘內更新/26人瀏覽","13,000 元/月"
"古亭3號出口各人洗衣機房東在美國加賴聯絡","https://rent.591.com.tw/rent-detail-11209339.html","分租套房   |  9坪   |  樓層：2/4","大安區-羅斯福路二段77巷5號","屋主林先生/37分鐘內更新/27人瀏覽","11,900 元/月"
"微風廣場附近,精美小套房","https://rent.591.com.tw/rent-detail-11177303.html","分租套房   |  6坪   |  樓層：4/4","松山區-復興南路一段","屋主昌小姐/43分鐘內更新/33人瀏覽","11,000 元/月"
"捷運科技大樓站～便宜套房～8/22可看屋","https://rent.591.com.tw/rent-detail-11223630.html","分租套房   |  6坪   |  樓層：1/7","大安區-和平東路二段107巷","仲介呂先生/50分鐘內更新/34人瀏覽","12,000 元/月"
"附中公園旁便宜分租套房","https://rent.591.com.tw/rent-detail-11204996.html","分租套房   |  6坪   |  樓層：頂樓加蓋/1","大安區-復興南路一段340巷","仲介呂先生/50分鐘內更新/42人瀏覽","8,500 元/月"
"師大台大泰順時尚優質套房","https://rent.591.com.tw/rent-detail-11251952.html","分租套房   |  6.5坪   |  樓層：4/4","大安區-泰順街54巷","屋主李小姐/51分鐘內更新/1條問答/65人瀏覽","12,800 元/月"
"近捷運南京三民站/舒適小套房","https://rent.591.com.tw/rent-detail-11262616.html","分租套房   |  6坪   |  樓層：2/3","松山區-南京東路五段291巷","仲介周先生/2小時內更新/7人瀏覽","14,500 元/月"
"羅斯福和平東路，公館師大古亭捷運5分鐘、","https://rent.591.com.tw/rent-detail-11162311.html","分租套房   |  7坪   |  樓層：3/4","大安區-羅斯福路二段117巷3弄1號","屋主葉小姐/2小時內更新/21人瀏覽","13,500 元/月"
"近師大和平東路羅斯福路,古亭捷運步行3分","https://rent.591.com.tw/rent-detail-11162522.html","分租套房   |  5坪   |  樓層：3/4","大安區-羅斯福路二段117巷3弄1號","屋主葉小姐/2小時內更新/1條問答/27人瀏覽","12,000 元/月"
"近忠孝敦化站、東區商圈，電梯舒適小套房！","https://rent.591.com.tw/rent-detail-11258191.html","分租套房   |  5坪   |  樓層：3/7","大安區-敦化南路一段187巷","仲介張先生/2小時內更新/15人瀏覽","14,500 元/月"
"近台大師大，寬敞明亮優質套房","https://rent.591.com.tw/rent-detail-11238804.html","分租套房   |  5坪   |  樓層：4/4","大安區-師大路93巷","屋主劉小姐/2小時內更新/45人瀏覽","13,000 元/月"
"近捷運中山國中站、松山機場站","https://rent.591.com.tw/rent-detail-11227168.html","分租套房   |  3坪   |  樓層：7/8","松山區-敦化北路222巷9號","屋主林先生/2小時內更新/39人瀏覽","8,500 元/月"
"南京社區套房有專用洗衣機,專用陽台","https://rent.591.com.tw/rent-detail-11145904.html","分租套房   |  7坪   |  樓層：4/4","松山區-八德路四段389巷34號","屋主陳先生/2小時內更新/47人瀏覽","10,800 元/月"
"台塑大樓租到12月底外窗9米巷含水電瓦網","https://rent.591.com.tw/rent-detail-11269342.html","分租套房   |  5坪   |  樓層：2/5","松山區-民生東路四段80巷","屋主先生/2小時內更新/45人瀏覽","8,700 元/月"
"【捷運忠孝復興站3分鐘】優質【分租套房】","https://rent.591.com.tw/rent-detail-11220266.html","分租套房   |  7.4坪   |  樓層：9/16","大安區-復興南路一段","仲介勝先生/2小時內更新/18人瀏覽","14,000 元/月"
"【捷運忠孝復興站3分鐘】優質【分租套房】","https://rent.591.com.tw/rent-detail-11216486.html","分租套房   |  7.4坪   |  樓層：9/16","大安區-復興南路一段","仲介勝先生/2小時內更新/1條問答/15人瀏覽","14,000 元/月"
"永康街79號5F套房含管理費網路水費廚房","https://rent.591.com.tw/rent-detail-11159545.html","分租套房   |  14坪   |  樓層：5/6","大安區-永康街79號","屋主趙先生/3小時內更新/36人瀏覽","13,500 元/月"
"南京三民套房衛浴開窗低樓層可寵大空間LY","https://rent.591.com.tw/rent-detail-11199331.html","分租套房   |  6坪   |  樓層：2/5","松山區-八德路四段204巷","仲介袁先生/3小時內更新/25人瀏覽","12,000 元/月"
"忠孝復興套房可寵室內開窗醫護可家具齊LY","https://rent.591.com.tw/rent-detail-11207801.html","分租套房   |  6坪   |  樓層：2/4","大安區-大安路一段51巷","仲介袁先生/3小時內更新/11人瀏覽","14,499 元/月"
"台北小巨蛋站分套屋內開窗免爬樓梯LY","https://rent.591.com.tw/rent-detail-11241614.html","分租套房   |  5坪   |  樓層：1/5","松山區-八德路三段155巷","仲介袁先生/3小時內更新/25人瀏覽","10,999 元/月"
"民生社區電梯套房","https://rent.591.com.tw/rent-detail-11235154.html","分租套房   |  5坪   |  樓層：5/7","松山區-民生東路五段","代理人徐先生/3小時內更新/27人瀏覽","12,000 元/月"
"xxx號2樓","https://rent.591.com.tw/rent-detail-11173715.html","分租套房   |  6坪   |  樓層：2/4","大安區-樂業街159巷","屋主王太太/3小時內更新/20人瀏覽","11,500 元/月"
"古亭捷運站6號出口雙人套房","https://rent.591.com.tw/rent-detail-11213822.html","分租套房   |  7坪   |  樓層：4/4","大安區-和平東路一段11巷","屋主胡先生/4小時內更新/81人瀏覽","10,000 元/月"
"民生社區3F套房出租，非頂樓加蓋近內湖","https://rent.591.com.tw/rent-detail-11221924.html","分租套房   |  8坪   |  樓層：3/4","松山區-新東街","屋主顧小姐/5小時內更新/45人瀏覽","14,000 元/月"
"捷運站旁乾淨安靜的套雅房歡迎短租寵物樂園","https://rent.591.com.tw/rent-detail-11252864.html","分租套房   |  6坪   |  樓層：5/5","大安區-光復南路692巷","屋主李老師/6小時內更新/51人瀏覽","10,500 元/月"
"台大公館生活圈全新套房","https://rent.591.com.tw/rent-detail-11283352.html","分租套房   |  8坪   |  樓層：1/7","大安區-羅斯福路三段333巷","代理人周先生/6小時內更新","12,000 元/月"
"台大、辛亥路2段、科技大樓、新變頻冷氣","https://rent.591.com.tw/rent-detail-11224217.html","分租套房   |  7坪   |  樓層：5/5","大安區-辛亥路二段171巷","屋主蔡太太/7小時內更新/35人瀏覽","11,000 元/月"
"國父紀念館捷運站、大巨蛋附近分租套房","https://rent.591.com.tw/rent-detail-11272842.html","分租套房   |  12坪   |  樓層：6/12","松山區-光復南路","代理人董小姐/9小時內更新/33人瀏覽","13,500 元/月"
"民生社區套房,限女房客,面三民公園,靜巷","https://rent.591.com.tw/rent-detail-11097785.html","分租套房   |  7坪   |  樓層：4/4","松山區-撫遠街261巷","屋主施先生/9小時內更新/27人瀏覽","11,500 元/月"
"好室多🏡忠孝復興站採光電梯套房限女生","https://rent.591.com.tw/rent-detail-11177866.html","分租套房   |  6坪   |  樓層：6/12","大安區-復興南路一段","仲介柯小姐/10小時內更新/11人瀏覽","15,000 元/月"
"★南京三民站★饒河夜市★超值型★電梯套房","https://rent.591.com.tw/rent-detail-11280812.html","分租套房   |  7坪   |  樓層：3/9","松山區-南京東路五段","仲介王先生/11小時內更新/56人瀏覽","10,000 元/月"
"近小巨蛋捷運站,酒店式管理精緻小套房","https://rent.591.com.tw/rent-detail-11186333.html","分租套房   |  6坪   |  樓層：4/7","松山區-光復北路","屋主張先生/11小時內更新/16人瀏覽","12,800 元/月"
"民生社區、共用廚房/洗衣、舒適空間","https://rent.591.com.tw/rent-detail-11283001.html","分租套房   |  6坪   |  樓層：4/4","松山區-撫遠街261巷","仲介鄭先生/11小時內更新/9人瀏覽","11,500 元/月"
"東區SOGO商圈近捷運優質套房","https://rent.591.com.tw/rent-detail-11187187.html","分租套房   |  5.5坪   |  樓層：4/4","大安區-敦化南路一段160巷27號","屋主李先生/14小時內更新/21人瀏覽","14,000 元/月"
"美樂*松山MRT*饒河商圈*小資套房搶租","https://rent.591.com.tw/rent-detail-11243305.html","分租套房   |  4.1坪   |  樓層：3/4","松山區-饒河街","仲介黃小姐/15小時內更新/20人瀏覽","13,800 元/月"
"交通便利近捷運套房","https://rent.591.com.tw/rent-detail-11162464.html","分租套房   |  4坪   |  樓層：頂樓加蓋/4","松山區-南京東路五段250巷18弄38號","代理人劉先生/16小時內更新/21人瀏覽","9,500 元/月"
"安和捷運站套房","https://rent.591.com.tw/rent-detail-11276423.html","分租套房   |  6坪   |  樓層：頂樓加蓋/5","大安區-通安街","屋主林先生/17小時內更新/87人瀏覽","10,000 元/月"
"大巨蛋華視溫馨電梯套房","https://rent.591.com.tw/rent-detail-11239635.html","分租套房   |  7坪   |  樓層：5/7","大安區-光復南路72巷","仲介沈先生/18小時內更新/60人瀏覽","11,500 元/月"
"遠企捷運獨立套房","https://rent.591.com.tw/rent-detail-11180296.html","分租套房   |  6坪   |  樓層：4/5","大安區-和平東路三段","屋主龔小姐/19小時內更新/57人瀏覽","12,000 元/月"
"住087小巨蛋分租套房","https://rent.591.com.tw/rent-detail-11280972.html","分租套房   |  7.5坪   |  樓層：1/4","松山區-光復北路60巷","仲介賴先生/19小時內更新/34人瀏覽","11,000 元/月"
"松山火車站(五分埔)套房出租","https://rent.591.com.tw/rent-detail-11237600.html","分租套房   |  5.5坪   |  樓層：2/4","松山區-松山路119巷","屋主張先生/19小時內更新/40人瀏覽","10,000 元/月"
"師大後門全新裝潢套房","https://rent.591.com.tw/rent-detail-11260401.html","分租套房   |  5坪   |  樓層：5/5","大安區-浦城街13巷","屋主江先生/19小時內更新/190人瀏覽","8,500 元/月"
"巷內安靜,乾淨","https://rent.591.com.tw/rent-detail-11176848.html","分租套房   |  5坪   |  樓層：2/5","松山區-南京東路五段389巷","屋主徐小姐/20小時內更新/1條問答/61人瀏覽","8,000 元/月"
"大安森林捷運站雅房與套房分租安靜","https://rent.591.com.tw/rent-detail-11185744.html","分租套房   |  8坪   |  樓層：2/5","大安區-建國南路一段286巷","仲介羅小姐/20小時內更新/48人瀏覽","8,800 元/月"
"南京三民站/大採光房/含水費/限女","https://rent.591.com.tw/rent-detail-11251951.html","分租套房   |  6坪   |  樓層：頂樓加蓋/4","松山區-三民路110巷","仲介楊先生/20小時內更新/18人瀏覽","12,500 元/月"
"京華城附近精緻套房","https://rent.591.com.tw/rent-detail-11277680.html","分租套房   |  7坪   |  樓層：3/4","松山區-八德路四段","屋主莊老師/20小時內更新/72人瀏覽","13,000 元/月"
"14000起~高級ShareHouse","https://rent.591.com.tw/rent-detail-11143915.html","分租套房   |  5坪   |  樓層：4/5","大安區-浦城街","仲介增先生/21小時內更新/33人瀏覽","14,000 元/月"
"裝潢小套房!適合小女生!有廚房,洗衣機","https://rent.591.com.tw/rent-detail-11280303.html","分租套房   |  5坪   |  樓層：4/5","大安區-泰順街38巷","仲介增先生/21小時內更新/89人瀏覽","14,000 元/月"
"南京三民捷運站套房緊鄰健身房","https://rent.591.com.tw/rent-detail-10896568.html","分租套房   |  8坪   |  樓層：4/4","松山區-八德路四段245巷56弄16號","屋主倪小姐/21小時內更新/58人瀏覽","10,000 元/月"
"重新裝潢全新套房!附小廚房＆洗衣機","https://rent.591.com.tw/rent-detail-11251621.html","分租套房   |  6坪   |  樓層：4/5","大安區-泰順街38巷","仲介增先生/21小時內更新/11人瀏覽","15,000 元/月"
"忠孝敦化，綠蔭小資女套房（專人回收垃圾）","https://rent.591.com.tw/rent-detail-11269484.html","分租套房   |  5坪   |  樓層：4/4","大安區-敦化南路一段161巷","仲介簡小姐/21小時內更新/97人瀏覽","8,300 元/月"
"南京三民捷運~家具全~全新粉刷.通風佳","https://rent.591.com.tw/rent-detail-11211556.html","分租套房   |  7坪   |  樓層：4/6","松山區-南京東路五段250巷","仲介萬先生/22小時內更新/19人瀏覽","10,500 元/月"
"台師大古亭捷運站1分靜巷境優設備全限女生","https://rent.591.com.tw/rent-detail-11190127.html","分租套房   |  8坪   |  樓層：1/4","大安區-和平東路一段","屋主林小姐/22小時內更新/19人瀏覽","12,500 元/月"
"古亭捷運3號出口3分鐘雙人房","https://rent.591.com.tw/rent-detail-11251728.html","分租套房   |  5坪   |  樓層：2/4","大安區-羅斯福路二段117巷","屋主陳太太/22小時內更新/56人瀏覽","9,500 元/月"
"捷運忠孝復興5分◆稀有大陽台◆乾溼分離","https://rent.591.com.tw/rent-detail-11253078.html","分租套房   |  5坪   |  樓層：頂樓加蓋/4","大安區-安東街35巷","仲介余先生/22小時內更新/15人瀏覽","14,500 元/月"
"*降降降*可短租!近忠孝敦化商圈誠可議","https://rent.591.com.tw/rent-detail-11186947.html","分租套房   |  8坪   |  樓層：5/5","大安區-敦化南路一段161巷","屋主林小姐/23小時內更新/48人瀏覽","10,000 元/月"
"光北/八德路套房","https://rent.591.com.tw/rent-detail-11161603.html","分租套房   |  6坪   |  樓層：4/5","松山區-光復北路","仲介黃先生/23小時內更新/13人瀏覽","13,500 元/月"
"大降價~近捷運~非頂加~靜巷~有包~搶租","https://rent.591.com.tw/rent-detail-11166376.html","分租套房   |  9坪   |  樓層：4/4","大安區-師大路102巷","仲介蘇先生/23小時內更新/84人瀏覽","10,000 元/月"
"北歐風雅房套房/近師大台大/宜家家具/女","https://rent.591.com.tw/rent-detail-11210587.html","分租套房   |  4.3坪   |  樓層：4/5","大安區-永康街","屋主黃太太/23小時內更新/103人瀏覽","8,500 元/月"
